Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3/17/16,Kansas,Austin Peay,W 105-79,200,39,70,0.557,33,54,0.611,6,16,0.375,21,27,0.778,105
3/17/17,UNC,Texas Southern,W 103-64,200,38,75,0.507,30,53,0.566,8,22,0.364,19,26,0.731,103
3/16/18,Xavier,Texas Southern,W 102-83,200,35,64,0.547,24,40,0.6,11,24,0.458,21,32,0.656,102
3/25/16,UNC,Indiana,W 101-86,200,32,62,0.516,21,42,0.5,11,20,0.55,26,33,0.788,101
3/16/17,Arizona,North Dakota,W 100-82,200,36,62,0.581,32,51,0.627,4,11,0.364,24,28,0.857,100
3/17/17,Kansas,UC-Davis,W 100-62,200,36,64,0.563,25,39,0.641,11,25,0.44,17,20,0.85,100
3/17/16,Indiana,Chattanooga,W 99-74,200,37,57,0.649,27,40,0.675,10,17,0.588,15,18,0.833,99
3/22/18,Michigan,Texas A&M,W 99-72,200,39,63,0.619,25,39,0.641,14,24,0.583,7,8,0.875,99
3/28/19,Purdue,Tennessee,W 99-94 (OT),225,34,63,0.54,19,32,0.594,15,31,0.484,16,33,0.485,99
3/23/17,Kansas,Purdue,W 98-66,200,34,62,0.548,19,34,0.559,15,28,0.536,15,22,0.682,98
3/17/17,UCLA,Kent State,W 97-80,200,37,59,0.627,30,45,0.667,7,14,0.5,16,23,0.696,97
3/29/19,Auburn,UNC,W 97-80,200,36,66,0.545,19,29,0.655,17,37,0.459,8,17,0.471,97
3/15/16,Fla. Gulf Coast,Fairl. Dickinson,W 96-65,200,34,57,0.596,26,34,0.765,8,23,0.348,20,34,0.588,96
4/2/16,Villanova,Oklahoma,W 95-51,200,35,49,0.714,24,31,0.774,11,18,0.611,14,19,0.737,95
3/14/17,Kansas State,Wake Forest,W 95-88,200,31,47,0.66,25,31,0.806,6,16,0.375,27,36,0.75,95
3/17/18,Kentucky,Buffalo,W 95-75,200,36,64,0.563,29,49,0.592,7,15,0.467,16,23,0.696,95
3/31/18,Villanova,Kansas,W 95-79,200,36,65,0.554,18,25,0.72,18,40,0.45,5,7,0.714,95
3/22/19,Oklahoma,Ole Miss,W 95-72,200,34,59,0.576,28,46,0.609,6,13,0.462,21,26,0.808,95
3/17/16,Iowa State,Iona,W 94-81,200,32,64,0.5,22,42,0.524,10,22,0.455,20,25,0.8,94
3/15/18,Seton Hall,NC State,W 94-83,200,28,58,0.483,21,37,0.568,7,21,0.333,31,39,0.795,94
3/18/18,West Virginia,Marshall,W 94-71,200,33,66,0.5,21,41,0.512,12,25,0.48,16,18,0.889,94
3/28/19,Tennessee,Purdue,L 94-99 (OT),225,34,68,0.5,22,44,0.5,12,24,0.5,14,28,0.5,94
3/17/16,Duke,UNC Wilmington,W 93-85,200,29,54,0.537,25,39,0.641,4,15,0.267,31,43,0.721,93
3/17/17,Oregon,Iona,W 93-77,200,35,63,0.556,26,40,0.65,9,23,0.391,14,21,0.667,93
3/17/17,South Carolina,Marquette,W 93-73,200,36,68,0.529,28,44,0.636,8,24,0.333,13,19,0.684,93
3/18/16,Texas A&M,Green Bay,W 92-65,200,32,57,0.561,25,38,0.658,7,19,0.368,21,28,0.75,92
3/20/16,Texas A&M,Northern Iowa,W 92-88 (2OT),250,31,71,0.437,24,39,0.615,7,32,0.219,23,34,0.676,92
3/24/16,Villanova,Miami (FL),W 92-69,200,32,51,0.627,22,36,0.611,10,15,0.667,18,19,0.947,92
3/17/17,Michigan,Oklahoma State,W 92-91,200,29,56,0.518,13,27,0.481,16,29,0.552,18,22,0.818,92
3/24/17,UNC,Butler,W 92-80,200,31,57,0.544,22,33,0.667,9,24,0.375,21,33,0.636,92
3/18/16,Oregon,Holy Cross,W 91-52,200,34,61,0.557,28,41,0.683,6,20,0.3,17,22,0.773,91
3/17/17,Baylor,New Mexico St.,W 91-73,200,35,61,0.574,31,53,0.585,4,8,0.5,17,19,0.895,91
3/17/17,Oklahoma State,Michigan,L 91-92,200,35,64,0.547,28,48,0.583,7,16,0.438,14,16,0.875,91
3/18/17,Xavier,Florida State,W 91-66,200,30,54,0.556,19,37,0.514,11,17,0.647,20,26,0.769,91
3/22/19,Buffalo,Arizona State,W 91-74,200,31,60,0.517,21,33,0.636,10,27,0.37,19,26,0.731,91
3/18/16,Middle Tenn.,Michigan State,W 90-81,200,33,59,0.559,22,40,0.55,11,19,0.579,13,21,0.619,90
3/19/17,Kansas,Michigan State,W 90-70,200,34,64,0.531,26,44,0.591,8,20,0.4,14,15,0.933,90
3/17/18,Gonzaga,Ohio State,W 90-84,200,31,58,0.534,22,36,0.611,9,22,0.409,19,31,0.613,90
3/23/18,Villanova,West Virginia,W 90-78,200,27,54,0.5,14,30,0.467,13,24,0.542,23,27,0.852,90
3/23/19,Florida State,Murray State,W 90-62,200,36,71,0.507,25,44,0.568,11,27,0.407,7,9,0.778,90
3/15/18,Duke,Iona,W 89-67,200,36,67,0.537,23,37,0.622,13,30,0.433,4,8,0.5,89
3/15/18,Buffalo,Arizona,W 89-68,200,34,62,0.548,19,32,0.594,15,30,0.5,6,7,0.857,89
3/23/19,Auburn,Kansas,W 89-75,200,32,61,0.525,19,31,0.613,13,30,0.433,12,15,0.8,89
3/20/16,Northern Iowa,Texas A&M,L 88-92 (2OT),250,27,69,0.391,15,35,0.429,12,34,0.353,22,27,0.815,88
3/27/16,UNC,Notre Dame,W 88-74,200,32,52,0.615,28,39,0.718,4,13,0.308,20,24,0.833,88
3/14/17,Wake Forest,Kansas State,L 88-95,200,25,53,0.472,16,26,0.615,9,27,0.333,29,32,0.906,88
3/19/17,South Carolina,Duke,W 88-81,200,27,63,0.429,20,41,0.488,7,22,0.318,27,32,0.844,88
3/22/19,UNC,Iona,W 88-73,200,35,75,0.467,28,53,0.528,7,22,0.318,11,15,0.733,88
3/20/16,Villanova,Iowa,W 87-68,200,32,54,0.593,22,35,0.629,10,19,0.526,13,17,0.765,87
3/17/17,Duke,Troy,W 87-65,200,29,62,0.468,16,34,0.471,13,28,0.464,16,23,0.696,87
3/15/18,Villanova,Radford,W 87-61,200,31,52,0.596,17,25,0.68,14,27,0.519,11,14,0.786,87
3/16/18,Nevada,Texas,W 87-83 (OT),225,32,63,0.508,21,34,0.618,11,29,0.379,12,20,0.6,87
3/17/18,Duke,Rhode Island,W 87-62,200,29,51,0.569,19,30,0.633,10,21,0.476,19,24,0.792,87
3/21/19,Kansas,Northeastern,W 87-53,200,34,61,0.557,26,39,0.667,8,22,0.364,11,12,0.917,87
3/21/19,Gonzaga,Fairl. Dickinson,W 87-49,200,34,64,0.531,25,43,0.581,9,21,0.429,10,16,0.625,87
3/23/19,Purdue,Villanova,W 87-61,200,29,54,0.537,13,24,0.542,16,30,0.533,13,16,0.813,87
3/18/16,Villanova,UNC Asheville,W 86-56,200,33,57,0.579,20,29,0.69,13,28,0.464,7,11,0.636,86
3/25/16,Indiana,UNC,L 86-101,200,25,61,0.41,12,30,0.4,13,31,0.419,23,26,0.885,86
3/16/17,Florida State,Fla. Gulf Coast,W 86-80,200,30,54,0.556,28,41,0.683,2,13,0.154,24,39,0.615,86
3/16/17,West Virginia,Bucknell,W 86-80,200,30,66,0.455,25,55,0.455,5,11,0.455,21,29,0.724,86
3/24/17,Kentucky,UCLA,W 86-75,200,31,63,0.492,21,40,0.525,10,23,0.435,14,17,0.824,86
3/15/18,Alabama,Virginia Tech,W 86-83,200,30,50,0.6,22,32,0.688,8,18,0.444,18,27,0.667,86
3/18/18,Texas A&M,UNC,W 86-65,200,31,60,0.517,21,36,0.583,10,24,0.417,14,21,0.667,86
3/21/19,Minnesota,Louisville,W 86-76,200,29,58,0.5,18,31,0.581,11,27,0.407,17,26,0.654,86
3/17/16,UNC Wilmington,Duke,L 85-93,200,30,68,0.441,19,42,0.452,11,26,0.423,14,19,0.737,85
3/17/16,Kentucky,Stony Brook,W 85-57,200,33,63,0.524,29,50,0.58,4,13,0.308,15,17,0.882,85
3/17/16,Little Rock,Purdue,W 85-83 (2OT),250,30,77,0.39,21,50,0.42,9,27,0.333,16,28,0.571,85
3/19/16,UNC,Providence,W 85-66,200,31,59,0.525,27,45,0.6,4,14,0.286,19,21,0.905,85
3/20/16,Oklahoma,VCU,W 85-81,200,29,60,0.483,21,34,0.618,8,26,0.308,19,25,0.76,85
3/16/17,Saint Mary's,VCU,W 85-77,200,25,45,0.556,19,28,0.679,6,17,0.353,29,39,0.744,85
3/16/18,West Virginia,Murray State,W 85-68,200,32,62,0.516,28,51,0.549,4,11,0.364,17,24,0.708,85
3/25/18,Kansas,Duke,W 85-81 (OT),225,30,69,0.435,17,33,0.515,13,36,0.361,12,15,0.8,85
3/22/19,Duke,North Dakota St.,W 85-62,200,33,65,0.508,25,46,0.543,8,19,0.421,11,17,0.647,85
4/8/19,Virginia,Texas Tech,W 85-77 (OT),225,27,59,0.458,16,35,0.457,11,24,0.458,20,23,0.87,85
3/25/16,Virginia,Iowa State,W 84-71,200,32,57,0.561,28,46,0.609,4,11,0.364,16,24,0.667,84
3/16/17,Iowa State,Nevada,W 84-73,200,30,54,0.556,22,35,0.629,8,19,0.421,16,18,0.889,84
3/16/17,Wisconsin,Virginia Tech,W 84-74,200,26,60,0.433,13,29,0.448,13,31,0.419,19,25,0.76,84
3/17/17,Rhode Island,Creighton,W 84-72,200,26,58,0.448,22,37,0.595,4,21,0.19,28,31,0.903,84
3/24/17,Florida,Wisconsin,W 84-83 (OT),225,28,62,0.452,20,40,0.5,8,22,0.364,20,28,0.714,84
3/16/18,UNC,Lipscomb,W 84-66,200,31,60,0.517,22,38,0.579,9,22,0.409,13,18,0.722,84
3/17/18,Ohio State,Gonzaga,L 84-90,200,30,66,0.455,19,40,0.475,11,26,0.423,13,16,0.813,84
3/18/18,Clemson,Auburn,W 84-53,200,29,61,0.475,19,35,0.543,10,26,0.385,16,23,0.696,84
3/21/19,Wofford,Seton Hall,W 84-68,200,26,54,0.481,13,26,0.5,13,28,0.464,19,23,0.826,84
3/22/19,Houston,Georgia State,W 84-55,200,33,64,0.516,25,35,0.714,8,29,0.276,10,13,0.769,84
3/17/16,UNC,Fla. Gulf Coast,W 83-67,200,31,72,0.431,24,51,0.471,7,21,0.333,14,19,0.737,83
3/17/16,Purdue,Little Rock,L 83-85 (2OT),250,26,62,0.419,17,34,0.5,9,28,0.321,22,28,0.786,83
