Date,Schl,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
3/25/11,Kentucky,Ohio State,W 62-60,200,22,48,0.458,16,31,0.516,6,17,0.353,12,14,0.857,62
4/2/11,VCU,Butler,L 62-70,200,23,58,0.397,15,36,0.417,8,22,0.364,8,13,0.615,62
3/15/12,Davidson,Louisville,L 62-69,200,21,60,0.35,17,41,0.415,4,19,0.211,16,23,0.696,62
3/15/12,VCU,Wichita State,W 62-59,200,25,59,0.424,19,36,0.528,6,23,0.261,6,9,0.667,62
3/17/12,Marquette,Murray State,W 62-53,200,21,55,0.382,17,40,0.425,4,15,0.267,16,21,0.762,62
3/18/12,Cincinnati,Florida State,W 62-56,200,19,50,0.38,14,35,0.4,5,15,0.333,19,23,0.826,62
3/18/12,Ohio,South Florida,W 62-56,200,17,43,0.395,8,25,0.32,9,18,0.5,19,25,0.76,62
3/31/12,Ohio State,Kansas,L 62-64,200,20,59,0.339,12,37,0.324,8,22,0.364,14,15,0.933,62
3/21/13,New Mexico,Harvard,L 62-68,200,21,56,0.375,18,42,0.429,3,14,0.214,17,24,0.708,62
3/22/13,James Madison,Indiana,L 62-83,200,26,62,0.419,18,42,0.429,8,20,0.4,2,4,0.5,62
3/29/13,Florida,Fla. Gulf Coast,W 62-50,200,22,57,0.386,18,42,0.429,4,15,0.267,14,23,0.609,62
3/29/14,Florida,Dayton,W 62-52,200,18,48,0.375,13,33,0.394,5,15,0.333,21,28,0.75,62
3/20/15,Buffalo,West Virginia,L 62-68,200,20,44,0.455,14,28,0.5,6,16,0.375,16,25,0.64,62
3/20/15,Valparaiso,Maryland,L 62-65,200,20,56,0.357,8,29,0.276,12,27,0.444,10,18,0.556,62
3/27/15,UCLA,Gonzaga,L 62-74,200,26,67,0.388,23,54,0.426,3,13,0.231,7,11,0.636,62
3/27/15,Michigan State,Oklahoma,W 62-58,200,22,57,0.386,13,30,0.433,9,27,0.333,9,16,0.563,62
3/16/11,Alabama State,UTSA,L 61-70,200,22,62,0.355,15,36,0.417,7,26,0.269,10,12,0.833,61
3/17/11,Louisville,Morehead State,L 61-62,200,22,48,0.458,12,23,0.522,10,25,0.4,7,16,0.438,61
3/18/11,George Mason,Villanova,W 61-57,200,21,52,0.404,17,38,0.447,4,14,0.286,15,24,0.625,61
3/24/11,Butler,Wisconsin,W 61-54,200,19,45,0.422,14,27,0.519,5,18,0.278,18,26,0.692,61
3/27/11,Kansas,VCU,L 61-71,200,22,62,0.355,20,41,0.488,2,21,0.095,15,28,0.536,61
3/16/12,Saint Louis,Memphis,W 61-54,200,21,46,0.457,16,33,0.485,5,13,0.385,14,18,0.778,61
3/17/12,VCU,Indiana,L 61-63,200,23,57,0.404,14,27,0.519,9,30,0.3,6,13,0.462,61
3/18/12,Saint Louis,Michigan State,L 61-65,200,18,51,0.353,11,26,0.423,7,25,0.28,18,23,0.783,61
3/31/12,Louisville,Kentucky,L 61-69,200,24,69,0.348,20,58,0.345,4,11,0.364,9,13,0.692,61
3/21/13,UNLV,California,L 61-64,200,19,59,0.322,13,39,0.333,6,20,0.3,17,26,0.654,61
3/22/13,Albany (NY),Duke,L 61-73,200,19,52,0.365,10,37,0.27,9,15,0.6,14,16,0.875,61
3/22/13,Kansas State,La Salle,L 61-63,200,24,57,0.421,20,44,0.455,4,13,0.308,9,17,0.529,61
3/28/13,Syracuse,Indiana,W 61-50,199,21,48,0.438,17,38,0.447,4,10,0.4,15,20,0.75,61
3/28/13,Miami (FL),Marquette,L 61-71,200,22,63,0.349,14,37,0.378,8,26,0.308,9,12,0.75,61
3/29/13,Michigan State,Duke,L 61-71,200,20,50,0.4,17,38,0.447,3,12,0.25,18,24,0.75,61
4/6/13,Michigan,Syracuse,W 61-56,201,21,53,0.396,13,29,0.448,8,24,0.333,11,20,0.55,61
3/20/14,Harvard,Cincinnati,W 61-57,200,19,44,0.432,13,27,0.481,6,17,0.353,17,28,0.607,61
3/22/14,Florida,Pitt,W 61-45,200,25,58,0.431,20,38,0.526,5,20,0.25,6,9,0.667,61
3/23/14,Gonzaga,Arizona,L 61-84,200,22,54,0.407,16,38,0.421,6,16,0.375,11,13,0.846,61
3/28/14,Michigan State,Virginia,W 61-59,200,21,47,0.447,16,33,0.485,5,14,0.357,14,18,0.778,61
