"SOURCE","TARGET","tweet_number"
"StevIePRob","YouTube",5115
"tmillzet","YouTube",5116
"Jpapa2474","YouTube",5117
"Jpapa2474","YouTube",5118
"Bowsie58","YouTube",5119
"kyrose87","RedWingGrips",5123
"kyrose87","kyrose87",5123
"NVAnimusApertus","MonicaPerezShow",5124
"Anonymo22319430","realDonaldTrump",5125
"all_woody","NoodleSparklez",5128
"JeannineRiviere","WhiteHouse⁩",5129
"JeannineRiviere","POTUS⁩",5129
"JeannineRiviere","mikepompeo⁩",5129
"JeannineRiviere","CraigRSawyer⁩",5129
"JeannineRiviere","GovRonDeSantis⁩",5129
"JulieTBennett63","YouTube",5130
"ishine60","DrJudyAMikovits",5136
"ishine60","realDonaldTrump",5136
"ishine60","TinaAguayotv",5136
"ishine60","DrJudyAMikovits",5136
"ishine60","DrJudyAMikovits",5137
"ishine60","DemocratFed",5137
"ishine60","realDonaldTrump",5137
"ishine60","TinaAguayotv",5137
"Lowcountry1Girl","sxdoc",5138
"Lowcountry1Girl","realDonaldTrump",5140
"YourServiceYW","DrYardSale",5141
"YourServiceYW","YourServiceYW",5141
"YourServiceYW","HillaryClinton",5141
"califhomes","realDonaldTrump",5142
"califhomes","GOPChairwoman",5142
"califhomes","GOPLeader",5142
"califhomes","GOP",5142
"califhomes","seanhannity",5142
"califhomes","IngrahamAngle",5142
"califhomes","DiamondandSilk",5142
"colleensorense","YouTube",5143
"stephenrblv","YouTube",5144
"PopSomePopcorn","jaketapper",5145
"PopSomePopcorn","might",5145
"PopSomePopcorn","Ilhan",5146
"consciousest","YouTube",5147
"AOusley","BillGates",5148
"AOusley","YouTube",5148
"RebelOutlaw5","govkristinoem",5151
"LetthechipsFly","YouTube",5153
"StanburyLynn","Unathi_Kwaza",5156
"StanburyLynn","CyrilRamaphosa",5156
"JustLaurie40","maddow",5157
"JustLaurie40","msnbc",5157
"JustLaurie40","cnn",5157
"JustLaurie40","YouTube",5157
"JustLaurie40","nyt",5157
"JustLaurie40","RonanFarrow",5157
"IndependentSeve","YouTube",5161
"Sally28168579","YouTube",5162
"davidhe46361805","YouTube",5168
"shanelamb20","YouTube",5169
"SargentPitcher","YouTube",5170
"UrPurposeIsLove","Soulful_Steph",5171
"angelajoy48","YouTube",5172
"GailAhlers","YouTube",5180
"Kinseymax","YouTube",5181
"ONLY_LIGHT2020","YouTube",5183
"TLRPOWER","aleeta92",5184
"RobMicoli","YouTube",5185
"MollyBr25896098","SpeakerPelosi",5188
"Dawnalireza","sxdoc",5191
"SheriVanhoose","YouTube",5192
"HelenaCCarta","DineshDSouza",5193
"HelenaCCarta","DrJudyAMikovits",5193
"ALS1976","YouTube",5194
"Khumbuz98119386","AdvoBarryRoux",5195
"melenrose","YouTube",5196
"BooIct","YouTube",5197
"Barbarajdurkin","YouTube",5201
"Barbarajdurkin","Barbarajdurkin",5202
"Barbarajdurkin","manifesto2000",5204
"Barbarajdurkin","0Sundance",5204
"Barbarajdurkin","markp1950",5204
"Barbarajdurkin","fishyfish67",5204
"Barbarajdurkin","MartinBrampton",5204
"Barbarajdurkin","ianbrow97534170",5204
"Barbarajdurkin","TinTincognito",5204
"Barbarajdurkin","HiFiWhiPhi",5204
"Barbarajdurkin","GWLarsson",5204
"Barbarajdurkin","RoyPentland",5204
"Barbarajdurkin","istacks2020",5204
"Barbarajdurkin","JoshSehn",5204
"Barbarajdurkin","mgh3kusa",5204
"Barbarajdurkin","Michael_D_Crow",5204
"Barbarajdurkin","EDavidAn",5204
"Barbarajdurkin","no2wind",5204
"Barbarajdurkin","swcrisis",5204
"Barbarajdurkin","tom_alban",5204
"Barbarajdurkin","Barbarajdurkin",5204
"Barbarajdurkin","VKindopp",5204
"Barbarajdurkin","RedDragonFly19",5204
"Barbarajdurkin","BettyMatt1",5204
"Barbarajdurkin","FriendsOScience",5204
"Barbarajdurkin","serveBC",5204
"Barbarajdurkin","Deerstet_Music",5204
"Barbarajdurkin","GillesnFio",5204
"Barbarajdurkin","PeterGreig6",5204
"Barbarajdurkin","VeronicaTalbot9",5204
"Barbarajdurkin","realSteve1234",5204
"Barbarajdurkin","ozhomeschool",5204
"Barbarajdurkin","JEM_Books",5204
"Barbarajdurkin","MedBennett",5204
"Barbarajdurkin","downtownrob88",5204
"Barbarajdurkin","SchemppShawn",5204
"Barbarajdurkin","am_garland",5204
"Barbarajdurkin","GrahamHill1234",5204
"Barbarajdurkin","HVACPerformance",5204
"Barbarajdurkin","LynnRahn1",5204
"Barbarajdurkin","ScottRowein",5204
"Barbarajdurkin","DougieG",5204
"Barbarajdurkin","GlenneDrover",5204
"Barbarajdurkin","AreWeThatStupi1",5204
"Barbarajdurkin","PhilMarsom",5204
"Barbarajdurkin","markcojuangco",5204
"Barbarajdurkin","AlbertStienstra",5204
"Barbarajdurkin","JBW227",5204
"Barbarajdurkin","johnsta04633925",5204
"Barbarajdurkin","GeraldKutney",5204
"Barbarajdurkin","ChinaMissionGva",5204
"Barbarajdurkin","zlj517",5204
"Jacquel29520102","YouTube",5205
"Mystdragon66","PNWForestKing",5206
"Mystdragon66","GovInslee",5206
"Mystdragon66","TheJusticeDept",5206
"rapandroses","YouTube",5209
"debishappyplace","YouTube",5210
"debishappyplace","realDonaldTrump",5210
"debishappyplace","Scavino45",5210
"debishappyplace","dbongino",5210
"debishappyplace","PressSec",5210
"debishappyplace","jsolomonReports",5210
"nessypivac","YouTube",5213
"WilliamLynnHar2","hockeyhoose15",5216
"WilliamLynnHar2","RepGosar",5216
"WilliamLynnHar2","realDonaldTrump",5216
"WilliamLynnHar2","YouTube",5217
"KupferTerri","jsolomonReports",5218
"OathMoe","DragoCordis",5219
"OathMoe","Ronaldelc",5219
"OathMoe","couthy7",5219
"OathMoe","BlueOvalRising",5219
"OathMoe","MeidasTouch",5219
"OathMoe","realDonaldTrump",5219
"25desni","YouTube",5220
"LesDeplorables8","YouTube",5221
"ballandchain69","YouTube",5222
"SOMBxRes","NYGovCuomo",5225
"marine_moe","invisiblebusyb",5227
"marine_moe","orchazsm",5227
"marine_moe","CheetosNemesis",5227
"marine_moe","phreddf",5227
"marine_moe","washingtonpost",5227
"NaattuVarthakal","DrJudyAMikovits",5229
"NaattuVarthakal","realDonaldTrump",5229
"NaattuVarthakal","FLOTUS",5229
"coffeeXchanel","DrJudyAMikovits",5230
"coffeeXchanel","realDonaldTrump",5230
"coffeeXchanel","FLOTUS",5230
"MagentaPixie","YouTube",5231
"magickey43price","manifesto2000",5232
"magickey43price","0Sundance",5232
"magickey43price","markp1950",5232
"magickey43price","fishyfish67",5232
"magickey43price","MartinBrampton",5232
"magickey43price","ianbrow97534170",5232
"magickey43price","TinTincognito",5232
"magickey43price","HiFiWhiPhi",5232
"magickey43price","GWLarsson",5232
"magickey43price","RoyPentland",5232
"magickey43price","istacks2020",5232
"magickey43price","JoshSehn",5232
"magickey43price","mgh3kusa",5232
"magickey43price","Michael_D_Crow",5232
"magickey43price","EDavidAn",5232
"magickey43price","no2wind",5232
"magickey43price","swcrisis",5232
"magickey43price","tom_alban",5232
"magickey43price","Barbarajdurkin",5232
"magickey43price","VKindopp",5232
"magickey43price","RedDragonFly19",5232
"magickey43price","BettyMatt1",5232
"magickey43price","FriendsOScience",5232
"magickey43price","serveBC",5232
"magickey43price","Deerstet_Music",5232
"magickey43price","GillesnFio",5232
"magickey43price","PeterGreig6",5232
"magickey43price","VeronicaTalbot9",5232
"magickey43price","realSteve1234",5232
"magickey43price","ozhomeschool",5232
"magickey43price","JEM_Books",5232
"magickey43price","MedBennett",5232
"magickey43price","downtownrob88",5232
"magickey43price","SchemppShawn",5232
"magickey43price","am_garland",5232
"magickey43price","GrahamHill1234",5232
"magickey43price","HVACPerformance",5232
"magickey43price","LynnRahn1",5232
"magickey43price","ScottRowein",5232
"magickey43price","DougieG",5232
"magickey43price","GlenneDrover",5232
"magickey43price","AreWeThatStupi1",5232
"magickey43price","PhilMarsom",5232
"magickey43price","markcojuangco",5232
"magickey43price","AlbertStienstra",5232
"magickey43price","JBW227",5232
"magickey43price","johnsta04633925",5232
"magickey43price","GeraldKutney",5232
"magickey43price","ChinaMissionGva",5232
"magickey43price","zlj517",5232
"magickey43price","LarryBoorstein",5233
"magickey43price","SecPompeo",5233
"toanangel108","realDonaldTrump",5235
"toanangel108","RealMattCouch",5235
"GreenEy48035505","realDonaldTrump",5236
"Upyourn","AkiraChanArts",5237
"spex357","YouTube",5240
"pattipainter2","RashidaTlaib",5241
"pattipainter2","gatewaypundit",5242
"pattipainter2","IlhanMN",5243
"masonlee0722","YouTube",5244
"masonlee0722","realDonaldTrump",5244
"katnap75","YouTube",5248
"originalHomieG","gratefulturners",5249
"TrumpJones2020","LowBMI:",5250
"TrumpJones2020","BonginoReport",5250
"TrumpJones2020","DeAnna4Congress",5250
"TrumpJones2020","DLoesch",5250
"TrumpJones2020","atensnut…",5250
"TrumpJones2020","ColbyWStudios:",5251
"ctmaga20201","YouTube",5252
"DutchNelissa","GavinNewsom",5253
"BlueAngelRowing","YouTube",5258
"Jeremy62884702","RepDougCollins",5259
"Usman42460568","YouTube",5263
"Usman42460568","YouTube",5264
"101_lifespark","YouTube",5267
"WegelBonnie","YouTube",5269
"phallac35","Charlotte3003G",5271
"phallac35","DominicRaab",5271
"phallac35","LBCNews",5272
"phallac35","MattHancock",5272
"ItsMeGoosie","YouTube",5274
"bellpers","YouTube",5276
"mk_mlls","YouTube",5277
"RavenStarrz","Sam2323_43433",5280
"RavenStarrz","ShawnG927",5280
"RavenStarrz","NatShupe",5281
"RavenStarrz","baalter",5281
"JimRobe70184873","atumpkins11",5287
"JimRobe70184873","love_trump2020",5287
"JimRobe70184873","angelor2000",5287
"JimRobe70184873","RobertDobbs2018",5287
"JimRobe70184873","laylow88861429",5287
"JimRobe70184873","topleveltroll2",5287
"JimRobe70184873","thedemorats",5287
"JimRobe70184873","TomDoubting",5287
"JimRobe70184873","Mongo3804",5287
"JimRobe70184873","chrisg409ubc",5287
"JimRobe70184873","Jay_see_see",5287
"JimRobe70184873","Jeanette_EU",5287
"JimRobe70184873","WalkedAwa",5287
"JimRobe70184873","ZacRe1",5287
"JimRobe70184873","Vickie627",5287
"JimRobe70184873","Brian_Alford",5287
"JimRobe70184873","GPoopon",5287
"JimRobe70184873","Merry_Hippie",5287
"JimRobe70184873","Pompano_Pete",5287
"JimRobe70184873","MonicaWhitfie14",5287
"JimRobe70184873","NotMattrellen",5287
"JimRobe70184873","r0xie_f0x",5287
"JimRobe70184873","SlimJimJohn1",5287
"JimRobe70184873","GMARHONDA1",5287
"JimRobe70184873","AngieGr60130939",5287
"JimRobe70184873","CRFerr007",5287
"JimRobe70184873","Eddy120876",5287
"JimRobe70184873","FlippinDBird",5287
"JimRobe70184873","ging_nancy",5287
"JimRobe70184873","RickySi16087724",5287
"JimRobe70184873","lhbncht",5287
"JimRobe70184873","kent_nye",5287
"JimRobe70184873","lou_bruette",5287
"JimRobe70184873","RPCovit",5287
"JimRobe70184873","idiot_salad",5287
"JimRobe70184873","cnnaguirre",5287
"JimRobe70184873","Real_Chatty_Cat",5287
"JimRobe70184873","hogansgoat2423",5287
"JimRobe70184873","motoguzzi2002",5287
"JimRobe70184873","m_keenum",5287
"JimRobe70184873","Xianleather2",5287
"JimRobe70184873","DougDerby",5287
"JimRobe70184873","corinne_locher",5287
"JimRobe70184873","jbr0wn12",5287
"JimRobe70184873","franjerkington",5287
"JimRobe70184873","NeoDJT",5287
"JimRobe70184873","PogueMoran",5287
"JimRobe70184873","t_f_bow",5287
"JimRobe70184873","LastLaughAemial",5287
"JimRobe70184873","realDonaldTrump",5287
"kc42077","YouTube",5288
"PJrtx","Tracie0313",5291
"PJrtx","PJrtx",5291
"PJrtx","AdamSchiff",5291
"garthrd192","barmore27",5292
"garthrd192","ShotsRangOut",5292
"nlrbnelson","YouTube",5294
"qtexaspatriot","YouTube",5295
"pjcoyne","YouTube",5296
"pjcoyne","YouTube",5297
"pjcoyne","davidasinclair",5297
"PattyHoff123","YouTube",5301
