,team1,team2,Result,year,outcome,Year.x,Random.x,Season.x,SeasonStart.x,Year.y,Random.y,Season.y,SeasonStart.y,Year,List,T1MinutesPlayed,T2MinutesPlayed,T1FieldGoals,T2FieldGoals,T1FieldGoalAttpt,T2FieldGoalAttpt,T1FieldGoalPct,T2FieldGoalPct,T1FieldGoals2P,T2FieldGoals2P,T1FieldGoalAttpt2P,T2FieldGoalAttpt2P,T1FieldGoals2PPct,T2FieldGoals2PPct,T1FieldGoals3P,T2FieldGoals3P,T1FieldGoalAttpt3P,T2FieldGoalAttpt3P,T1FieldGoals3PPct,T2FieldGoals3PPct,T1FreeThrows,T2FreeThrows,T1FreeThrowAttpt,T2FreeThrowAttpt,T1FreeThrowPct,T2FreeThrowPct,T1GamesPlayed,T2GamesPlayed,T1GamesWon,T2GamesWon,T1GamesLost,T2GamesLost,T1WinLossRatio,T2WinLossRatio,T1PointsScored,T2PointsScored
605,Cincinnati,Purdue,W 66-65 (OT),2015,1,15,2310,2014-15,2014,15,1212,2014-15,2014,15,605,6899,6876,761,827,1705,1840,0.446,0.449,594,632,1198,1243,0.496,0.508,167,195,507,597,0.329,0.327,424,524,633,767,0.67,0.683,34,34,23,21,11,13,0.676,0.618,2113,2373
606,NC State,LSU,W 66-65,2015,1,15,704,2014-15,2014,15,1045,2014-15,2014,15,606,7252,6750,895,892,2054,1962,0.436,0.455,659,703,1393,1404,0.473,0.501,236,189,661,558,0.357,0.339,499,450,727,658,0.686,0.684,36,33,22,22,14,11,0.611,0.667,2525,2423
607,Dayton,Providence,W 66-53,2015,1,15,986,2014-15,2014,15,1227,2014-15,2014,15,607,7225,6850,810,828,1755,1889,0.462,0.438,571,657,1085,1343,0.526,0.489,239,171,670,546,0.357,0.313,580,543,846,768,0.686,0.707,36,34,27,22,9,12,0.75,0.647,2439,2370
608,Dayton,Oklahoma,L 66-72,2015,0,15,986,2014-15,2014,15,776,2014-15,2014,15,608,7225,7050,810,885,1755,2035,0.462,0.435,571,649,1085,1347,0.526,0.482,239,236,670,688,0.357,0.343,580,495,846,668,0.686,0.741,36,35,27,24,9,11,0.75,0.686,2439,2501
609,Louisville,Northern Iowa,W 66-53,2015,1,15,826,2014-15,2014,15,1593,2014-15,2014,15,609,7249,7101,878,776,2048,1618,0.429,0.48,680,519,1404,973,0.484,0.533,198,257,644,645,0.307,0.398,529,472,792,644,0.668,0.733,36,35,27,31,9,4,0.75,0.886,2483,2281
610,Notre Dame,Kentucky,L 66-68,2015,0,15,60,2014-15,2014,15,79,2014-15,2014,15,610,7725,7873,1050,1006,2061,2150,0.509,0.468,748,803,1286,1568,0.582,0.512,302,203,775,582,0.39,0.349,561,685,756,943,0.742,0.726,38,39,32,38,6,1,0.842,0.974,2963,2900
611,Duke,Gonzaga,W 66-52,2015,1,15,17,2014-15,2014,15,51,2014-15,2014,15,611,7850,7625,1099,1084,2191,2083,0.502,0.52,816,820,1459,1423,0.559,0.576,283,264,732,660,0.387,0.4,610,557,873,806,0.699,0.691,39,38,35,35,4,3,0.897,0.921,3091,2989
612,Purdue,Cincinnati,L 65-66 (OT),2015,0,15,1212,2014-15,2014,15,2310,2014-15,2014,15,612,6876,6899,827,761,1840,1705,0.449,0.446,632,594,1243,1198,0.508,0.496,195,167,597,507,0.327,0.329,524,424,767,633,0.683,0.67,34,34,21,23,13,11,0.618,0.676,2373,2113
613,Harvard,UNC,L 65-67,2015,0,15,2890,2014-15,2014,15,63,2014-15,2014,15,613,6098,7650,671,1099,1548,2309,0.433,0.476,525,915,1136,1795,0.462,0.51,146,184,412,514,0.354,0.358,438,571,609,814,0.719,0.701,30,38,22,26,8,12,0.733,0.684,1926,2953
614,LSU,NC State,L 65-66,2015,0,15,1045,2014-15,2014,15,704,2014-15,2014,15,614,6750,7252,892,895,1962,2054,0.455,0.436,703,659,1404,1393,0.501,0.473,189,236,558,661,0.339,0.357,450,499,658,727,0.684,0.686,33,36,22,22,11,14,0.667,0.611,2423,2525
615,Northeastern,Notre Dame,L 65-69,2015,0,15,1140,2014-15,2014,15,60,2014-15,2014,15,615,7075,7725,838,1050,1725,2061,0.486,0.509,635,748,1199,1286,0.53,0.582,203,302,526,775,0.386,0.39,518,561,713,756,0.727,0.742,35,38,23,32,12,6,0.657,0.842,2397,2963
616,Maryland,Valparaiso,W 65-62,2015,1,15,1062,2014-15,2014,15,1242,2014-15,2014,15,616,7050,6826,781,837,1777,1836,0.44,0.456,523,601,1090,1216,0.48,0.494,258,236,687,620,0.376,0.381,597,456,790,676,0.756,0.675,35,34,28,28,7,6,0.8,0.824,2417,2366
617,Kansas,Wichita State,L 65-78,2015,0,15,615,2014-15,2014,15,911,2014-15,2014,15,617,7225,7050,869,860,1976,1933,0.44,0.445,656,621,1414,1263,0.464,0.492,213,239,562,670,0.379,0.357,610,501,842,715,0.724,0.701,36,35,27,30,9,5,0.75,0.857,2561,2460
618,Oregon,Wisconsin,L 65-72,2015,0,15,292,2014-15,2014,15,80,2014-15,2014,15,618,7300,8050,992,1014,2143,2115,0.463,0.479,729,726,1417,1325,0.514,0.548,263,288,726,790,0.362,0.365,466,584,613,765,0.76,0.763,36,40,26,36,10,4,0.722,0.9,2713,2900
619,NC State,Louisville,L 65-75,2015,0,15,704,2014-15,2014,15,826,2014-15,2014,15,619,7252,7249,895,878,2054,2048,0.436,0.429,659,680,1393,1404,0.473,0.484,236,198,661,644,0.357,0.307,499,529,727,792,0.686,0.668,36,36,22,27,14,9,0.611,0.75,2525,2483
620,Manhattan,Hampton,L 64-74,2015,0,15,1507,2014-15,2014,15,1323,2014-15,2014,15,620,6700,7025,756,796,1748,1959,0.432,0.406,541,602,1108,1321,0.488,0.456,215,194,640,638,0.336,0.304,573,560,829,859,0.691,0.652,33,35,19,17,14,18,0.576,0.486,2300,2346
621,St. John's (NY),San Diego State,L 64-76,2015,0,15,1342,2014-15,2014,15,1837,2014-15,2014,15,621,6625,7276,835,800,1890,1916,0.442,0.418,637,611,1321,1325,0.482,0.461,198,189,569,591,0.348,0.32,475,437,687,694,0.691,0.63,33,36,21,27,12,9,0.636,0.75,2343,2226
622,Butler,Notre Dame,L 64-67 (OT),2015,0,15,1324,2014-15,2014,15,60,2014-15,2014,15,622,6900,7725,814,1050,1882,2061,0.433,0.509,622,748,1342,1286,0.463,0.582,192,302,540,775,0.356,0.39,526,561,767,756,0.686,0.742,34,38,23,32,11,6,0.676,0.842,2346,2963
623,Kentucky,Cincinnati,W 64-51,2015,1,15,79,2014-15,2014,15,2310,2014-15,2014,15,623,7873,6899,1006,761,2150,1705,0.468,0.446,803,594,1568,1198,0.512,0.496,203,167,582,507,0.349,0.329,685,424,943,633,0.726,0.67,39,34,38,23,1,11,0.974,0.676,2900,2113
624,Georgetown,Utah,L 64-75,2015,0,15,1354,2014-15,2014,15,788,2014-15,2014,15,624,6699,7024,799,849,1753,1760,0.456,0.482,598,585,1184,1106,0.505,0.529,201,264,569,654,0.353,0.404,541,534,769,760,0.704,0.703,33,35,22,26,11,9,0.667,0.743,2340,2496
625,Kentucky,Wisconsin,L 64-71,2015,0,15,79,2014-15,2014,15,80,2014-15,2014,15,625,7873,8050,1006,1014,2150,2115,0.468,0.479,803,726,1568,1325,0.512,0.548,203,288,582,790,0.349,0.365,685,584,943,765,0.726,0.763,39,40,38,36,1,4,0.974,0.9,2900,2900
626,Georgia,Michigan State,L 63-70,2015,0,15,1748,2014-15,2014,15,201,2014-15,2014,15,626,6755,8025,747,1014,1730,2181,0.432,0.465,563,720,1192,1418,0.472,0.508,184,294,538,763,0.342,0.385,572,451,826,714,0.692,0.632,33,39,21,27,12,12,0.636,0.692,2250,2773
627,Duke,Utah,W 63-57,2015,1,15,17,2014-15,2014,15,788,2014-15,2014,15,627,7850,7024,1099,849,2191,1760,0.502,0.482,816,585,1459,1106,0.559,0.529,283,264,732,654,0.387,0.404,610,534,873,760,0.699,0.703,39,35,35,26,4,9,0.897,0.743,3091,2496
628,Wisconsin,Duke,L 63-68,2015,0,15,80,2014-15,2014,15,17,2014-15,2014,15,628,8050,7850,1014,1099,2115,2191,0.479,0.502,726,816,1325,1459,0.548,0.559,288,283,790,732,0.365,0.387,584,610,765,873,0.763,0.699,40,39,36,35,4,4,0.9,0.897,2900,3091
629,Buffalo,West Virginia,L 62-68,2015,0,15,905,2014-15,2014,15,668,2014-15,2014,15,629,6600,7050,837,872,1922,2138,0.435,0.408,638,645,1339,1419,0.476,0.455,199,227,583,719,0.341,0.316,589,571,819,863,0.719,0.662,33,35,23,25,10,10,0.697,0.714,2462,2542
630,Valparaiso,Maryland,L 62-65,2015,0,15,1242,2014-15,2014,15,1062,2014-15,2014,15,630,6826,7050,837,781,1836,1777,0.456,0.44,601,523,1216,1090,0.494,0.48,236,258,620,687,0.381,0.376,456,597,676,790,0.675,0.756,34,35,28,28,6,7,0.824,0.8,2366,2417
631,UCLA,Gonzaga,L 62-74,2015,0,15,541,2014-15,2014,15,51,2014-15,2014,15,631,7250,7625,930,1084,2099,2083,0.443,0.52,707,820,1493,1423,0.474,0.576,223,264,606,660,0.368,0.4,507,557,750,806,0.676,0.691,36,38,22,35,14,3,0.611,0.921,2590,2989
632,Michigan State,Oklahoma,W 62-58,2015,1,15,201,2014-15,2014,15,776,2014-15,2014,15,632,8025,7050,1014,885,2181,2035,0.465,0.435,720,649,1418,1347,0.508,0.482,294,236,763,688,0.385,0.343,451,495,714,668,0.632,0.741,39,35,27,24,12,11,0.692,0.686,2773,2501
633,Michigan State,Duke,L 61-81,2015,0,15,201,2014-15,2014,15,17,2014-15,2014,15,633,8025,7850,1014,1099,2181,2191,0.465,0.502,720,816,1418,1459,0.508,0.559,294,283,763,732,0.385,0.387,451,610,714,873,0.632,0.699,39,39,27,35,12,4,0.692,0.897,2773,3091
634,UAB,Iowa State,W 60-59,2015,1,15,855,2014-15,2014,15,412,2014-15,2014,15,634,7401,6800,873,940,2042,1973,0.428,0.476,671,677,1435,1247,0.468,0.543,202,263,607,726,0.333,0.362,528,502,715,721,0.738,0.696,36,34,20,25,16,9,0.556,0.735,2476,2645
635,UCLA,SMU,W 60-59,2015,1,15,541,2014-15,2014,15,1307,2014-15,2014,15,635,7250,6825,930,832,2099,1750,0.443,0.475,707,687,1493,1350,0.474,0.509,223,145,606,400,0.368,0.363,507,541,750,770,0.676,0.703,36,34,22,27,14,7,0.611,0.794,2590,2350
636,Albany (NY),Oklahoma,L 60-69,2015,0,15,2128,2014-15,2014,15,776,2014-15,2014,15,636,6624,7050,729,885,1666,2035,0.438,0.435,524,649,1094,1347,0.479,0.482,205,236,572,688,0.358,0.343,493,495,650,668,0.758,0.741,33,35,24,24,9,11,0.727,0.686,2156,2501
637,Michigan State,Virginia,W 60-54,2015,1,15,201,2014-15,2014,15,1844,2014-15,2014,15,637,8025,6850,1014,804,2181,1758,0.465,0.457,720,634,1418,1275,0.508,0.497,294,170,763,483,0.385,0.352,451,446,714,614,0.632,0.726,39,34,27,30,12,4,0.692,0.882,2773,2224
638,Xavier,Arizona,L 60-68,2015,0,15,293,2014-15,2014,15,76,2014-15,2014,15,638,7525,7625,956,1009,2011,2068,0.475,0.488,722,816,1345,1532,0.537,0.533,234,193,666,536,0.351,0.36,566,700,775,974,0.73,0.719,37,38,23,34,14,4,0.622,0.895,2712,2911
639,Iowa State,UAB,L 59-60,2015,0,15,412,2014-15,2014,15,855,2014-15,2014,15,639,6800,7401,940,873,1973,2042,0.476,0.428,677,671,1247,1435,0.543,0.468,263,202,726,607,0.362,0.333,502,528,721,715,0.696,0.738,34,36,25,20,9,16,0.735,0.556,2645,2476
640,SMU,UCLA,L 59-60,2015,0,15,1307,2014-15,2014,15,541,2014-15,2014,15,640,6825,7250,832,930,1750,2099,0.475,0.443,687,707,1350,1493,0.509,0.474,145,223,400,606,0.363,0.368,541,507,770,750,0.703,0.676,34,36,27,22,7,14,0.794,0.611,2350,2590
641,Maryland,West Virginia,L 59-69,2015,0,15,1062,2014-15,2014,15,668,2014-15,2014,15,641,7050,7050,781,872,1777,2138,0.44,0.408,523,645,1090,1419,0.48,0.455,258,227,687,719,0.376,0.316,597,571,790,863,0.756,0.662,35,35,28,25,7,10,0.8,0.714,2417,2542
642,Ohio State,Arizona,L 58-73,2015,0,15,430,2014-15,2014,15,76,2014-15,2014,15,642,7050,7625,964,1009,1995,2068,0.483,0.488,728,816,1358,1532,0.536,0.533,236,193,637,536,0.37,0.36,471,700,693,974,0.68,0.719,35,38,24,34,11,4,0.686,0.895,2635,2911
643,Oklahoma,Michigan State,L 58-62,2015,0,15,776,2014-15,2014,15,201,2014-15,2014,15,643,7050,8025,885,1014,2035,2181,0.435,0.465,649,720,1347,1418,0.482,0.508,236,294,688,763,0.343,0.385,495,451,668,714,0.741,0.632,35,39,24,27,11,12,0.686,0.692,2501,2773
644,Georgia State,Baylor,W 57-56,2015,1,15,783,2014-15,2014,15,1311,2014-15,2014,15,644,7076,6850,902,813,1878,1874,0.48,0.434,728,577,1356,1248,0.537,0.462,174,236,522,626,0.333,0.377,521,487,719,723,0.725,0.674,35,34,25,24,10,10,0.714,0.706,2499,2349
645,Ole Miss,Xavier,L 57-76,2015,0,15,860,2014-15,2014,15,293,2014-15,2014,15,645,6845,7525,848,956,2003,2011,0.423,0.475,628,722,1341,1345,0.468,0.537,220,234,662,666,0.332,0.351,559,566,723,775,0.773,0.73,34,37,21,23,13,14,0.618,0.622,2475,2712
646,Utah,Stephen F. Austin,W 57-50,2015,1,15,788,2014-15,2014,15,370,2014-15,2014,15,646,7024,6824,849,911,1760,1870,0.482,0.487,585,649,1106,1178,0.529,0.551,264,262,654,692,0.404,0.379,534,588,760,799,0.703,0.736,35,34,26,29,9,5,0.743,0.853,2496,2672
647,Louisville,UC-Irvine,W 57-55,2015,1,15,826,2014-15,2014,15,1534,2014-15,2014,15,647,7249,6850,878,854,2048,1851,0.429,0.461,680,637,1404,1293,0.484,0.493,198,217,644,558,0.307,0.389,529,370,792,541,0.668,0.684,36,34,27,21,9,13,0.75,0.618,2483,2295
648,Utah,Duke,L 57-63,2015,0,15,788,2014-15,2014,15,17,2014-15,2014,15,648,7024,7850,849,1099,1760,2191,0.482,0.502,585,816,1106,1459,0.529,0.559,264,283,654,732,0.404,0.387,534,610,760,873,0.703,0.699,35,39,26,35,9,4,0.743,0.897,2496,3091
649,Dayton,Boise State,W 56-55,2015,1,15,986,2014-15,2014,15,1160,2014-15,2014,15,649,7225,6925,810,831,1755,1823,0.462,0.456,571,534,1085,1065,0.526,0.501,239,297,670,758,0.357,0.392,580,431,846,591,0.686,0.729,36,34,27,25,9,9,0.75,0.735,2439,2390
650,Arkansas,Wofford,W 56-53,2015,1,15,177,2014-15,2014,15,1390,2014-15,2014,15,650,7252,7000,978,818,2196,1802,0.445,0.454,740,596,1515,1206,0.488,0.494,238,222,681,596,0.349,0.372,593,473,819,688,0.724,0.688,36,35,27,28,9,7,0.75,0.8,2787,2331
651,Baylor,Georgia State,L 56-57,2015,0,15,1311,2014-15,2014,15,783,2014-15,2014,15,651,6850,7076,813,902,1874,1878,0.434,0.48,577,728,1248,1356,0.462,0.537,236,174,626,522,0.377,0.333,487,521,723,719,0.674,0.725,34,35,24,25,10,10,0.706,0.714,2349,2499
652,Butler,Texas,W 56-48,2015,1,15,1324,2014-15,2014,15,1557,2014-15,2014,15,652,6900,6875,814,796,1882,1837,0.433,0.433,622,584,1342,1211,0.463,0.482,192,212,540,626,0.356,0.339,526,486,767,671,0.686,0.724,34,34,23,20,11,14,0.676,0.588,2346,2290
653,Hampton,Kentucky,L 56-79,2015,0,15,1323,2014-15,2014,15,79,2014-15,2014,15,653,7025,7873,796,1006,1959,2150,0.406,0.468,602,803,1321,1568,0.456,0.512,194,203,638,582,0.304,0.349,560,685,859,943,0.652,0.726,35,39,17,38,18,1,0.486,0.974,2346,2900
654,Robert Morris,Duke,L 56-85,2015,0,15,1077,2014-15,2014,15,17,2014-15,2014,15,654,7050,7850,854,1099,1926,2191,0.443,0.502,633,816,1336,1459,0.474,0.559,221,283,590,732,0.375,0.387,485,610,684,873,0.709,0.699,35,39,20,35,15,4,0.571,0.897,2414,3091
655,New Mexico St.,Kansas,L 56-75,2015,0,15,1445,2014-15,2014,15,615,2014-15,2014,15,655,6850,7225,808,869,1748,1976,0.462,0.44,643,656,1298,1414,0.495,0.464,165,213,450,562,0.367,0.379,535,610,771,842,0.694,0.724,34,36,23,27,11,9,0.676,0.75,2316,2561
656,Boise State,Dayton,L 55-56,2015,0,15,1160,2014-15,2014,15,986,2014-15,2014,15,656,6925,7225,831,810,1823,1755,0.456,0.462,534,571,1065,1085,0.501,0.526,297,239,758,670,0.392,0.357,431,580,591,846,0.729,0.686,34,36,25,27,9,9,0.735,0.75,2390,2439
657,UC-Irvine,Louisville,L 55-57,2015,0,15,1534,2014-15,2014,15,826,2014-15,2014,15,657,6850,7249,854,878,1851,2048,0.461,0.429,637,680,1293,1404,0.493,0.484,217,198,558,644,0.389,0.307,370,529,541,792,0.684,0.668,34,36,21,27,13,9,0.618,0.75,2295,2483
658,Wyoming,Northern Iowa,L 54-71,2015,0,15,2150,2014-15,2014,15,1593,2014-15,2014,15,658,7152,7101,747,776,1619,1618,0.461,0.48,538,519,977,973,0.551,0.533,209,257,642,645,0.326,0.398,448,472,638,644,0.702,0.733,35,35,25,31,10,4,0.714,0.886,2151,2281
659,Virginia,Michigan State,L 54-60,2015,0,15,1844,2014-15,2014,15,201,2014-15,2014,15,659,6850,8025,804,1014,1758,2181,0.457,0.465,634,720,1275,1418,0.497,0.508,170,294,483,763,0.352,0.385,446,451,614,714,0.726,0.632,34,39,30,27,4,12,0.882,0.692,2224,2773
660,Wofford,Arkansas,L 53-56,2015,0,15,1390,2014-15,2014,15,177,2014-15,2014,15,660,7000,7252,818,978,1802,2196,0.454,0.445,596,740,1206,1515,0.494,0.488,222,238,596,681,0.372,0.349,473,593,688,819,0.688,0.724,35,36,28,27,7,9,0.8,0.75,2331,2787
661,Providence,Dayton,L 53-66,2015,0,15,1227,2014-15,2014,15,986,2014-15,2014,15,661,6850,7225,828,810,1889,1755,0.438,0.462,657,571,1343,1085,0.489,0.526,171,239,546,670,0.313,0.357,543,580,768,846,0.707,0.686,34,36,22,27,12,9,0.647,0.75,2370,2439
662,Northern Iowa,Louisville,L 53-66,2015,0,15,1593,2014-15,2014,15,826,2014-15,2014,15,662,7101,7249,776,878,1618,2048,0.48,0.429,519,680,973,1404,0.533,0.484,257,198,645,644,0.398,0.307,472,529,644,792,0.733,0.668,35,36,31,27,4,9,0.886,0.75,2281,2483
663,Lafayette,Villanova,L 52-93,2015,0,15,1032,2014-15,2014,15,229,2014-15,2014,15,663,6625,7250,872,916,1799,1951,0.485,0.47,611,590,1159,1114,0.527,0.53,261,326,640,837,0.408,0.389,421,596,549,815,0.767,0.731,33,36,20,33,13,3,0.606,0.917,2426,2754
664,Davidson,Iowa,L 52-83,2015,0,15,696,2014-15,2014,15,1217,2014-15,2014,15,664,6425,6850,898,821,1924,1905,0.467,0.431,555,629,1047,1329,0.53,0.473,343,192,877,576,0.391,0.333,390,538,553,723,0.705,0.744,32,34,24,22,8,12,0.75,0.647,2529,2372
665,Gonzaga,Duke,L 52-66,2015,0,15,51,2014-15,2014,15,17,2014-15,2014,15,665,7625,7850,1084,1099,2083,2191,0.52,0.502,820,816,1423,1459,0.576,0.559,264,283,660,732,0.4,0.387,557,610,806,873,0.691,0.699,38,39,35,35,3,4,0.921,0.897,2989,3091
666,Cincinnati,Kentucky,L 51-64,2015,0,15,2310,2014-15,2014,15,79,2014-15,2014,15,666,6899,7873,761,1006,1705,2150,0.446,0.468,594,803,1198,1568,0.496,0.512,167,203,507,582,0.329,0.349,424,685,633,943,0.67,0.726,34,39,23,38,11,1,0.676,0.974,2113,2900
667,Stephen F. Austin,Utah,L 50-57,2015,0,15,370,2014-15,2014,15,788,2014-15,2014,15,667,6824,7024,911,849,1870,1760,0.487,0.482,649,585,1178,1106,0.551,0.529,262,264,692,654,0.379,0.404,588,534,799,760,0.736,0.703,34,35,29,26,5,9,0.853,0.743,2672,2496
668,San Diego State,Duke,L 49-68,2015,0,15,1837,2014-15,2014,15,17,2014-15,2014,15,668,7276,7850,800,1099,1916,2191,0.418,0.502,611,816,1325,1459,0.461,0.559,189,283,591,732,0.32,0.387,437,610,694,873,0.63,0.699,36,39,27,35,9,4,0.75,0.897,2226,3091
669,Texas,Butler,L 48-56,2015,0,15,1557,2014-15,2014,15,1324,2014-15,2014,15,669,6875,6900,796,814,1837,1882,0.433,0.433,584,622,1211,1342,0.482,0.463,212,192,626,540,0.339,0.356,486,526,671,767,0.724,0.686,34,34,20,23,14,11,0.588,0.676,2290,2346
670,West Virginia,Kentucky,L 39-78,2015,0,15,668,2014-15,2014,15,79,2014-15,2014,15,670,7050,7873,872,1006,2138,2150,0.408,0.468,645,803,1419,1568,0.455,0.512,227,203,719,582,0.316,0.349,571,685,863,943,0.662,0.726,35,39,25,38,10,1,0.714,0.974,2542,2900
671,Kansas,Austin Peay,W 105-79,2016,1,16,21,2015-16,2015,16,245,2015-16,2015,16,671,7700,7300,1092,945,2207,2049,0.495,0.461,788,722,1479,1404,0.533,0.514,304,223,728,645,0.418,0.346,601,627,843,936,0.713,0.67,38,36,33,18,5,18,0.868,0.5,3089,2740
672,UNC,Indiana,W 101-86,2016,1,16,3,2015-16,2015,16,83,2015-16,2015,16,672,8000,7025,1235,1021,2560,2034,0.482,0.502,1011,676,1875,1203,0.539,0.562,224,345,685,831,0.327,0.415,617,504,826,688,0.747,0.733,40,35,33,27,7,8,0.825,0.771,3311,2891
673,Indiana,Chattanooga,W 99-74,2016,1,16,83,2015-16,2015,16,398,2015-16,2015,16,673,7025,7050,1021,897,2034,1963,0.502,0.457,676,635,1203,1234,0.562,0.515,345,262,831,729,0.415,0.359,504,596,688,811,0.733,0.735,35,35,27,29,8,6,0.771,0.829,2891,2652
674,Fla. Gulf Coast,Fairl. Dickinson,W 96-65,2016,1,16,312,2015-16,2015,16,629,2015-16,2015,16,674,7176,6675,1008,929,2106,2029,0.479,0.458,822,691,1579,1372,0.521,0.504,186,238,527,657,0.353,0.362,501,462,778,663,0.644,0.697,35,33,21,18,14,15,0.6,0.545,2703,2558
675,Villanova,Oklahoma,W 95-51,2016,1,16,12,2015-16,2015,16,65,2015-16,2015,16,675,8025,7476,1086,1018,2247,2225,0.483,0.458,739,636,1288,1319,0.574,0.482,347,382,959,906,0.362,0.422,599,530,766,734,0.782,0.722,40,37,35,29,5,8,0.875,0.784,3118,2948
676,Iowa State,Iona,W 94-81,2016,1,16,102,2015-16,2015,16,452,2015-16,2015,16,676,7075,6625,1087,919,2159,2011,0.503,0.457,794,592,1401,1127,0.567,0.525,293,327,758,884,0.387,0.37,395,463,563,651,0.702,0.711,35,33,23,22,12,11,0.657,0.667,2862,2628
677,Duke,UNC Wilmington,W 93-85,2016,1,16,70,2015-16,2015,16,474,2015-16,2015,16,677,7250,6675,983,928,2136,2039,0.46,0.455,655,698,1285,1362,0.51,0.512,328,230,851,677,0.385,0.34,626,534,866,760,0.723,0.703,36,33,25,25,11,8,0.694,0.758,2920,2620
678,Texas A&M,Green Bay,W 92-65,2016,1,16,135,2015-16,2015,16,38,2015-16,2015,16,678,7500,7275,991,1048,2208,2350,0.449,0.446,710,793,1384,1620,0.513,0.49,281,255,824,730,0.341,0.349,565,662,841,1007,0.672,0.657,37,36,28,23,9,13,0.757,0.639,2828,3013
679,Texas A&M,Northern Iowa,W 92-88 (2OT),2016,1,16,135,2015-16,2015,16,861,2015-16,2015,16,679,7500,7275,991,849,2208,1864,0.449,0.455,710,551,1384,1068,0.513,0.516,281,298,824,796,0.341,0.374,565,479,841,633,0.672,0.757,37,36,28,23,9,13,0.757,0.639,2828,2475
680,Villanova,Miami (FL),W 92-69,2016,1,16,12,2015-16,2015,16,436,2015-16,2015,16,680,8025,7026,1086,907,2247,1895,0.483,0.479,739,666,1288,1252,0.574,0.532,347,241,959,643,0.362,0.375,599,578,766,772,0.782,0.749,40,35,35,27,5,8,0.875,0.771,3118,2633
681,Oregon,Holy Cross,W 91-52,2016,1,16,49,2015-16,2015,16,1669,2015-16,2015,16,681,7626,7125,1041,775,2230,1879,0.467,0.412,781,524,1472,1110,0.531,0.472,260,251,758,769,0.343,0.326,648,466,906,678,0.715,0.687,38,35,31,15,7,20,0.816,0.429,2990,2267
682,Middle Tenn.,Michigan State,W 90-81,2016,1,16,674,2015-16,2015,16,171,2015-16,2015,16,682,7025,7050,909,1009,2025,2078,0.449,0.486,630,688,1309,1339,0.481,0.514,279,321,716,739,0.39,0.434,442,454,718,623,0.616,0.729,35,35,25,29,10,6,0.714,0.829,2539,2793
683,Northern Iowa,Texas A&M,L 88-92 (2OT),2016,0,16,861,2015-16,2015,16,135,2015-16,2015,16,683,7275,7500,849,991,1864,2208,0.455,0.449,551,710,1068,1384,0.516,0.513,298,281,796,824,0.374,0.341,479,565,633,841,0.757,0.672,36,37,23,28,13,9,0.639,0.757,2475,2828
684,UNC,Notre Dame,W 88-74,2016,1,16,3,2015-16,2015,16,310,2015-16,2015,16,684,8000,7225,1235,972,2560,2042,0.482,0.476,1011,710,1875,1342,0.539,0.529,224,262,685,700,0.327,0.374,617,498,826,671,0.747,0.742,40,36,33,24,7,12,0.825,0.667,3311,2704
685,Villanova,Iowa,W 87-68,2016,1,16,12,2015-16,2015,16,616,2015-16,2015,16,685,8025,6650,1086,906,2247,2027,0.483,0.447,739,637,1288,1308,0.574,0.487,347,269,959,719,0.362,0.374,599,480,766,669,0.782,0.717,40,33,35,22,5,11,0.875,0.667,3118,2561
686,Villanova,UNC Asheville,W 86-56,2016,1,16,12,2015-16,2015,16,650,2015-16,2015,16,686,8025,6851,1086,898,2247,1973,0.483,0.455,739,703,1288,1370,0.574,0.513,347,195,959,603,0.362,0.323,599,561,766,808,0.782,0.694,40,34,35,22,5,12,0.875,0.647,3118,2552
687,Indiana,UNC,L 86-101,2016,0,16,83,2015-16,2015,16,3,2015-16,2015,16,687,7025,8000,1021,1235,2034,2560,0.502,0.482,676,1011,1203,1875,0.562,0.539,345,224,831,685,0.415,0.327,504,617,688,826,0.733,0.747,35,40,27,33,8,7,0.771,0.825,2891,3311
688,UNC Wilmington,Duke,L 85-93,2016,0,16,474,2015-16,2015,16,70,2015-16,2015,16,688,6675,7250,928,983,2039,2136,0.455,0.46,698,655,1362,1285,0.512,0.51,230,328,677,851,0.34,0.385,534,626,760,866,0.703,0.723,33,36,25,25,8,11,0.758,0.694,2620,2920
689,Kentucky,Stony Brook,W 85-57,2016,1,16,103,2015-16,2015,16,730,2015-16,2015,16,689,7275,6625,1028,933,2149,1992,0.478,0.468,784,713,1483,1394,0.529,0.511,244,220,666,598,0.366,0.368,561,429,813,637,0.69,0.673,36,33,27,26,9,7,0.75,0.788,2861,2515
690,Little Rock,Purdue,W 85-83 (2OT),2016,1,16,811,2015-16,2015,16,275,2015-16,2015,16,690,7074,7075,886,960,1958,2042,0.453,0.47,620,692,1265,1311,0.49,0.528,266,268,693,731,0.384,0.367,449,538,616,723,0.729,0.744,35,35,30,26,5,9,0.857,0.743,2487,2726
691,UNC,Providence,W 85-66,2016,1,16,3,2015-16,2015,16,573,2015-16,2015,16,691,8000,7075,1235,881,2560,2093,0.482,0.421,1011,632,1875,1317,0.539,0.48,224,249,685,776,0.327,0.321,617,566,826,781,0.747,0.725,40,35,33,24,7,11,0.825,0.686,3311,2577
