,team1,team2,Result,year,outcome,Year.x,Random.x,Season.x,SeasonStart.x,Year.y,Random.y,Season.y,SeasonStart.y,Year,List,T1MinutesPlayed,T2MinutesPlayed,T1FieldGoals,T2FieldGoals,T1FieldGoalAttpt,T2FieldGoalAttpt,T1FieldGoalPct,T2FieldGoalPct,T1FieldGoals2P,T2FieldGoals2P,T1FieldGoalAttpt2P,T2FieldGoalAttpt2P,T1FieldGoals2PPct,T2FieldGoals2PPct,T1FieldGoals3P,T2FieldGoals3P,T1FieldGoalAttpt3P,T2FieldGoalAttpt3P,T1FieldGoals3PPct,T2FieldGoals3PPct,T1FreeThrows,T2FreeThrows,T1FreeThrowAttpt,T2FreeThrowAttpt,T1FreeThrowPct,T2FreeThrowPct,T1GamesPlayed,T2GamesPlayed,T1GamesWon,T2GamesWon,T1GamesLost,T2GamesLost,T1WinLossRatio,T2WinLossRatio,T1PointsScored,T2PointsScored
34,Pitt,UNC Asheville,W 74-51,2011,1,11,734,2010-11,2010,11,754,2010-11,2010,11,34,6825,6951,886,881,1866,1950,0.475,0.452,684,713,1354,1435,0.505,0.497,202,168,512,515,0.395,0.326,540,576,805,810,0.671,0.711,34,34,28,20,6,14,0.824,0.588,2514,2506
35,VCU,Georgetown,W 74-56,2011,1,11,100,2010-11,2010,11,1713,2010-11,2010,11,35,8100,6426,968,809,2228,1703,0.434,0.475,629,586,1311,1072,0.48,0.547,339,223,917,631,0.37,0.353,589,417,824,568,0.715,0.734,40,32,28,21,12,11,0.7,0.656,2864,2258
36,BYU,Florida,L 74-83 (OT),2011,0,11,39,2010-11,2010,11,377,2010-11,2010,11,36,7475,7575,1019,968,2267,2083,0.449,0.465,707,735,1402,1422,0.504,0.517,312,233,865,661,0.361,0.352,662,498,865,744,0.765,0.669,37,37,32,29,5,8,0.865,0.784,3012,2667
37,UConn,San Diego State,W 74-67,2011,1,11,56,2010-11,2010,11,386,2010-11,2010,11,37,8350,7450,1053,991,2429,2141,0.434,0.463,819,768,1718,1502,0.477,0.511,234,223,711,639,0.329,0.349,627,455,822,653,0.763,0.697,41,37,32,34,9,3,0.78,0.919,2967,2660
38,Butler,Florida,W 74-71 (OT),2011,1,11,302,2010-11,2010,11,377,2010-11,2010,11,38,7700,7575,919,968,2122,2083,0.433,0.465,630,735,1300,1422,0.485,0.517,289,233,822,661,0.352,0.352,580,498,799,744,0.726,0.669,38,37,28,29,10,8,0.737,0.784,2707,2667
39,Kansas State,Utah State,W 73-68,2011,1,11,851,2010-11,2010,11,942,2010-11,2010,11,39,6800,6850,849,840,1939,1788,0.438,0.47,612,634,1308,1226,0.468,0.517,237,206,631,562,0.376,0.367,542,563,828,764,0.655,0.737,34,34,23,30,11,4,0.676,0.882,2477,2449
40,Illinois,UNLV,W 73-62,2011,1,11,1079,2010-11,2010,11,1252,2010-11,2010,11,40,6825,6625,894,842,1910,1836,0.468,0.459,662,658,1310,1278,0.505,0.515,232,184,600,558,0.387,0.33,393,495,539,718,0.729,0.689,34,33,20,24,14,9,0.588,0.727,2413,2363
41,Florida,UCLA,W 73-65,2011,1,11,377,2010-11,2010,11,1189,2010-11,2010,11,41,7575,6876,968,830,2083,1824,0.465,0.455,735,657,1422,1295,0.517,0.507,233,173,661,529,0.352,0.327,498,549,744,808,0.669,0.679,37,34,29,23,8,11,0.784,0.676,2667,2382
42,Duke,Michigan,W 73-71,2011,1,11,45,2010-11,2010,11,1402,2010-11,2010,11,42,7400,7050,1040,847,2206,1889,0.471,0.448,749,564,1428,1085,0.525,0.52,291,283,778,804,0.374,0.352,622,351,826,502,0.753,0.699,37,35,32,21,5,14,0.865,0.6,2993,2328
43,Kansas,Illinois,W 73-59,2011,1,11,23,2010-11,2010,11,1079,2010-11,2010,11,43,7625,6825,1114,894,2193,1910,0.508,0.468,843,662,1483,1310,0.568,0.505,271,232,710,600,0.382,0.387,585,393,862,539,0.679,0.729,38,34,35,20,3,14,0.921,0.588,3084,2413
44,Wisconsin,Belmont,W 72-58,2011,1,11,1473,2010-11,2010,11,173,2010-11,2010,11,44,6849,7050,798,944,1808,2045,0.441,0.462,520,617,1064,1181,0.489,0.522,278,327,744,864,0.374,0.378,436,575,533,781,0.818,0.736,34,35,25,30,9,5,0.735,0.857,2310,2790
45,Kansas,Boston U.,W 72-53,2011,1,11,23,2010-11,2010,11,1654,2010-11,2010,11,45,7625,7025,1114,749,2193,1865,0.508,0.402,843,484,1483,1118,0.568,0.433,271,265,710,747,0.382,0.355,585,507,862,695,0.679,0.729,38,35,35,21,3,14,0.921,0.6,3084,2270
46,VCU,Florida State,W 72-71 (OT),2011,1,11,100,2010-11,2010,11,1313,2010-11,2010,11,46,8100,6825,968,827,2228,1903,0.434,0.435,629,615,1311,1269,0.48,0.485,339,212,917,634,0.37,0.334,589,482,824,725,0.715,0.665,40,34,28,23,12,11,0.7,0.676,2864,2348
47,St. John's (NY),Gonzaga,L 71-86,2011,0,11,1458,2010-11,2010,11,346,2010-11,2010,11,47,6625,7050,807,932,1773,1947,0.455,0.479,664,729,1346,1399,0.493,0.521,143,203,427,548,0.335,0.37,556,617,783,810,0.71,0.762,33,35,21,25,12,10,0.636,0.714,2313,2684
48,Butler,Pitt,W 71-70,2011,1,11,302,2010-11,2010,11,734,2010-11,2010,11,48,7700,6825,919,886,2122,1866,0.433,0.475,630,684,1300,1354,0.485,0.505,289,202,822,512,0.352,0.395,580,540,799,805,0.726,0.671,38,34,28,28,10,6,0.737,0.824,2707,2514
49,Kentucky,West Virginia,W 71-63,2011,1,11,114,2010-11,2010,11,1497,2010-11,2010,11,49,7625,6600,1002,783,2183,1826,0.459,0.429,721,577,1476,1215,0.488,0.475,281,206,707,611,0.397,0.337,560,531,789,747,0.71,0.711,38,33,29,21,9,12,0.763,0.636,2845,2303
50,San Diego State,Temple,W 71-64 (2OT),2011,1,11,386,2010-11,2010,11,1129,2010-11,2010,11,50,7450,6875,991,868,2141,1943,0.463,0.447,768,662,1502,1360,0.511,0.487,223,206,639,583,0.349,0.353,455,458,653,656,0.697,0.698,37,34,34,26,3,8,0.919,0.765,2660,2400
51,Michigan,Duke,L 71-73,2011,0,11,1402,2010-11,2010,11,45,2010-11,2010,11,51,7050,7400,847,1040,1889,2206,0.448,0.471,564,749,1085,1428,0.52,0.525,283,291,804,778,0.352,0.374,351,622,502,826,0.699,0.753,35,37,21,32,14,5,0.6,0.865,2328,2993
52,Florida State,Notre Dame,W 71-57,2011,1,11,1313,2010-11,2010,11,626,2010-11,2010,11,52,6825,6900,827,843,1903,1832,0.435,0.46,615,570,1269,1124,0.485,0.507,212,273,634,708,0.334,0.386,482,599,725,827,0.665,0.724,34,34,23,27,11,7,0.676,0.794,2348,2558
53,Florida State,VCU,L 71-72 (OT),2011,0,11,1313,2010-11,2010,11,100,2010-11,2010,11,53,6825,8100,827,968,1903,2228,0.435,0.434,615,629,1269,1311,0.485,0.48,212,339,634,917,0.334,0.37,482,589,725,824,0.665,0.715,34,40,23,28,11,12,0.676,0.7,2348,2864
54,Florida,Butler,L 71-74 (OT),2011,0,11,377,2010-11,2010,11,302,2010-11,2010,11,54,7575,7700,968,919,2083,2122,0.465,0.433,735,630,1422,1300,0.517,0.485,233,289,661,822,0.352,0.352,498,580,744,799,0.669,0.726,37,38,29,28,8,10,0.784,0.737,2667,2707
55,VCU,Kansas,W 71-61,2011,1,11,100,2010-11,2010,11,23,2010-11,2010,11,55,8100,7625,968,1114,2228,2193,0.434,0.508,629,843,1311,1483,0.48,0.568,339,271,917,710,0.37,0.382,589,585,824,862,0.715,0.679,40,38,28,35,12,3,0.7,0.921,2864,3084
56,Clemson,UAB,W 70-52,2011,1,11,1395,2010-11,2010,11,2277,2010-11,2010,11,56,6850,6350,810,756,1827,1725,0.443,0.438,593,517,1197,1027,0.495,0.503,217,239,630,698,0.344,0.342,493,368,703,513,0.701,0.717,34,31,22,22,12,9,0.647,0.71,2330,2119
57,UTSA,Alabama State,W 70-61,2011,1,11,1181,2010-11,2010,11,2171,2010-11,2010,11,57,6800,7050,802,728,1871,1841,0.429,0.395,568,563,1204,1258,0.472,0.448,234,165,667,583,0.351,0.283,546,525,774,870,0.705,0.603,34,35,20,17,14,18,0.588,0.486,2384,2146
58,Pitt,Butler,L 70-71,2011,0,11,734,2010-11,2010,11,302,2010-11,2010,11,58,6825,7700,886,919,1866,2122,0.475,0.433,684,630,1354,1300,0.505,0.485,202,289,512,822,0.395,0.352,540,580,805,799,0.671,0.726,34,38,28,28,6,10,0.824,0.737,2514,2707
59,Wisconsin,Kansas State,W 70-65,2011,1,11,1473,2010-11,2010,11,851,2010-11,2010,11,59,6849,6800,798,849,1808,1939,0.441,0.438,520,612,1064,1308,0.489,0.468,278,237,744,631,0.374,0.376,436,542,533,828,0.818,0.655,34,34,25,23,9,11,0.735,0.676,2310,2477
60,Arizona,Texas,W 70-69,2011,1,11,78,2010-11,2010,11,314,2010-11,2010,11,60,7700,7250,969,954,2064,2099,0.469,0.455,673,753,1319,1564,0.51,0.481,296,201,745,535,0.397,0.376,671,592,899,905,0.746,0.654,38,36,30,28,8,8,0.789,0.778,2905,2701
61,Butler,VCU,W 70-62,2011,1,11,302,2010-11,2010,11,100,2010-11,2010,11,61,7700,8100,919,968,2122,2228,0.433,0.434,630,629,1300,1311,0.485,0.48,289,339,822,917,0.352,0.37,580,589,799,824,0.726,0.715,38,40,28,28,10,12,0.737,0.7,2707,2864
62,Richmond,Vanderbilt,W 69-66,2011,1,11,572,2010-11,2010,11,561,2010-11,2010,11,62,7450,6875,922,848,2007,1853,0.459,0.458,635,585,1272,1145,0.499,0.511,287,263,735,708,0.39,0.371,446,622,649,837,0.687,0.743,37,34,29,23,8,11,0.784,0.676,2577,2581
63,Notre Dame,Akron,W 69-56,2011,1,11,626,2010-11,2010,11,706,2010-11,2010,11,63,6900,7325,843,892,1832,2073,0.46,0.43,570,609,1124,1288,0.507,0.473,273,283,708,785,0.386,0.361,599,457,827,649,0.724,0.704,34,36,27,23,7,13,0.794,0.639,2558,2524
64,UConn,Cincinnati,W 69-58,2011,1,11,56,2010-11,2010,11,1083,2010-11,2010,11,64,8350,7025,1053,848,2429,1939,0.434,0.437,819,628,1718,1288,0.477,0.488,234,220,711,651,0.329,0.338,627,496,822,742,0.763,0.668,41,35,32,26,9,9,0.78,0.743,2967,2412
65,Texas,Arizona,L 69-70,2011,0,11,314,2010-11,2010,11,78,2010-11,2010,11,65,7250,7700,954,969,2099,2064,0.455,0.469,753,673,1564,1319,0.481,0.51,201,296,535,745,0.376,0.397,592,671,905,899,0.654,0.746,36,38,28,30,8,8,0.778,0.789,2701,2905
66,UNC,Kentucky,L 69-76,2011,0,11,96,2010-11,2010,11,114,2010-11,2010,11,66,7424,7625,1044,1002,2317,2183,0.451,0.459,854,721,1738,1476,0.491,0.488,190,281,579,707,0.328,0.397,590,560,878,789,0.672,0.71,37,38,29,29,8,9,0.784,0.763,2868,2845
67,Utah State,Kansas State,L 68-73,2011,0,11,942,2010-11,2010,11,851,2010-11,2010,11,67,6850,6800,840,849,1788,1939,0.47,0.438,634,612,1226,1308,0.517,0.468,206,237,562,631,0.367,0.376,563,542,764,828,0.737,0.655,34,34,30,23,4,11,0.882,0.676,2449,2477
68,San Diego State,Northern Colo.,W 68-50,2011,1,11,386,2010-11,2010,11,1566,2010-11,2010,11,68,7450,6400,991,731,2141,1708,0.463,0.428,768,477,1502,1051,0.511,0.454,223,254,639,657,0.349,0.387,455,571,653,742,0.697,0.77,37,32,34,21,3,11,0.919,0.656,2660,2287
69,Washington,Georgia,W 68-65,2011,1,11,77,2010-11,2010,11,1666,2010-11,2010,11,69,7050,6750,1061,823,2260,1822,0.469,0.452,756,667,1439,1366,0.525,0.488,305,156,821,456,0.371,0.342,480,465,712,667,0.674,0.697,35,33,24,21,11,12,0.686,0.636,2907,2267
70,Gonzaga,BYU,L 67-89,2011,0,11,346,2010-11,2010,11,39,2010-11,2010,11,70,7050,7475,932,1019,1947,2267,0.479,0.449,729,707,1399,1402,0.521,0.504,203,312,548,865,0.37,0.361,617,662,810,865,0.762,0.765,35,37,25,32,10,5,0.714,0.865,2684,3012
71,San Diego State,UConn,L 67-74,2011,0,11,386,2010-11,2010,11,56,2010-11,2010,11,71,7450,8350,991,1053,2141,2429,0.463,0.434,768,819,1502,1718,0.511,0.477,223,234,639,711,0.349,0.329,455,627,653,822,0.697,0.763,37,41,34,32,3,9,0.919,0.78,2660,2967
72,Wofford,BYU,L 66-74,2011,0,11,768,2010-11,2010,11,39,2010-11,2010,11,72,6950,7475,883,1019,1853,2267,0.477,0.449,686,707,1360,1402,0.504,0.504,197,312,493,865,0.4,0.361,539,662,778,865,0.693,0.765,34,37,21,32,13,5,0.618,0.865,2502,3012
73,Temple,Penn State,W 66-64,2011,1,11,1129,2010-11,2010,11,2186,2010-11,2010,11,73,6875,6800,868,767,1943,1748,0.447,0.439,662,551,1360,1110,0.487,0.496,206,216,583,638,0.353,0.339,458,394,656,544,0.698,0.724,34,34,26,19,8,15,0.765,0.559,2400,2144
74,Vanderbilt,Richmond,L 66-69,2011,0,11,561,2010-11,2010,11,572,2010-11,2010,11,74,6875,7450,848,922,1853,2007,0.458,0.459,585,635,1145,1272,0.511,0.499,263,287,708,735,0.371,0.39,622,446,837,649,0.743,0.687,34,37,23,29,11,8,0.676,0.784,2581,2577
