"SOURCE","TARGET","tweet_number"
"maria65802408","OdeCarvalho",93960
"maria65802408","allantercalivre",93960
"maria65802408","YouTube",93961
"maria65802408","leandroruschel",93961
"maria65802408","bernardopkuster",93961
"maria65802408","OlavoOpressor",93961
"maria65802408","OdeCarvalho",93961
"maria65802408","allantercalivre",93961
"LiveZenLove","MagniAnon",93962
"AutoFixPal","realDonaldTrump",93963
"BartMFlyn04","jakecoco",93967
"Kirk_925","DrButtar",93968
"BrianPHillbilly","atensnut",93973
"BrianPHillbilly","charlino",93973
"BrianPHillbilly","atensnut",93974
"BrianPHillbilly","charlino",93974
"Darth_Valhalla","YouTube",93975
"phassmann52","X22Report",93977
"phassmann52","WhiteHouse",93977
"export066","Matthew_4_Trump",93982
"export066","CallingBSonU",93982
"LastDaysTruth1","connell_trudy",93984
"LastDaysTruth1","govkristinoem",93984
"dani74829276","GitRDoneLarry",93988
"ImaPatriot3","PrisonPlanet",93989
"JasVerity","xjippyx",93991
"JasVerity","TommyG",93991
"JasVerity","RustynutzDFS",93991
"JasVerity","BigT44DFS",93991
"La_Flavor106","YouTube",93992
"trinareyes","trinareyes",93998
"harrysuke","TigerKaze",93999
"harrysuke","darkwolf514",93999
"harrysuke","AnonymousSage1",93999
"harrysuke","john_c0nner",93999
"harrysuke","cjsienna55",93999
"harrysuke","Are_you_aware_",93999
"harrysuke","Anon__Truther",93999
"harrysuke","onlyDtruths",93999
"harrysuke","ThomasHansson14",93999
"harrysuke","idonotComply",93999
"harrysuke","noblebutts",93999
"harrysuke","Fredthefish2",93999
"harrysuke","CatherineJayn11",93999
"harrysuke","tezisold",93999
"harrysuke","jamesperloff",93999
"harrysuke","Alpha_1C",93999
"harrysuke","whereangelsdare",93999
"harrysuke","Boots93059615",93999
"harrysuke","USlawreview",93999
"harrysuke","AniloDiako",93999
"harrysuke","End_TheFederalR",93999
"harrysuke","Dragonsoul9Fire",93999
"harrysuke","ILLUMINATIKILL5",93999
"harrysuke","Lukewearechange",93999
"harrysuke","AngeloJohnGage",93999
"harrysuke","Know_More_News",93999
"harrysuke","Obzerver77",93999
"harrysuke","OhRoyalOne",93999
"harrysuke","Urylle",93999
"harrysuke","Trutherbotanyo2",93999
"harrysuke","bs_doe",93999
"tomjon12","DianaRene21",94000
"tomjon12","VeBo1991",94000
"JGPME","PrisonPlanet",94001
"ATTeCademy","IPOT1776",94003
"ATTeCademy","VincentCrypt46",94004
"ATTeCademy","Jordan_Sather_",94004
"ATTeCademy","TruthWarrior95",94005
"ATTeCademy","dbongino",94006
"ATTeCademy","apostolicwarior",94007
"USALiberty10","TheEllenShow",94008
"RickNea45116430","DrButtar",94010
"idug11","greg_scott84",94014
"NanaDeb42271069","elenochle",94017
"mpg25mary","yoSissyNY_FL",94018
"mpg25mary","mpg25mary",94018
"mpg25mary","ChuckCallesto",94018
"mpg25mary","POTUS",94018
"mpg25mary","realDonaldTrump",94018
"AGRichard1","PrisonPlanet",94025
"AGRichard1","PrisonPlanet",94026
"DFD4122Q1","YouTube",94030
"DFD4122Q1","elenochle",94031
"Balatafun","DrButtar",94032
"klsnana6","canucklaw1",94033
"RodgersResearch","RaquelDancho",94035
"longbean511","An0maly,",94040
"trumpforcewon","DrButtar",94044
"DCurtis74017098","DrButtar",94046
"northernpatrio7","user5north",94049
"northernpatrio7","globalnews",94049
"Wolfhou81747949","o_rips",94050
"FrannyGirl1221","4everNeverTrump",94052
"FrannyGirl1221","SarahHuckabee",94052
"FrannyGirl1221","AOC",94052
"FrannyGirl1221","UrbanPienews",94053
"FrannyGirl1221","robbogunovic",94053
"jonannasue","YouTube",94054
"Delta56ca","elenochle",94056
"JohnDoe83351878","GreyTonka",94058
"freedomrider364","Lrihendry:",94059
"BlueelvisEric","OnAngelWings",94062
"BlueelvisEric","teslasrevenge",94062
"BlueelvisEric","HardKnockJimmy",94062
"BlueelvisEric","RickBhmcsb",94062
"BlueelvisEric","nboo1014",94062
"BlueelvisEric","chetbtester",94062
"BlueelvisEric","sheilasheila58",94062
"BlueelvisEric","wjamesawill",94062
"BlueelvisEric","dr_mike91",94062
"BlueelvisEric","1shawnster",94062
"BlueelvisEric","AlbertaLiberty",94062
"BlueelvisEric","DrMickLethal",94062
"BlueelvisEric","proudamericanmm",94062
"BlueelvisEric","roadwarriorBob",94062
"DeeLilacs","DrButtar",94063
"InAbsentia9","DrButtar",94066
"sade56153482","TSTINFL",94073
"sade56153482","WolfishHead",94073
"sade56153482","CR20921779",94074
"sade56153482","ProFab7",94074
"sade56153482","WolfishHead",94074
"sayAmenMiller","canucklaw1",94075
"robert425","martingeddes",94078
"JR_DadBear","Roseann36341172.",94079
"JR_DadBear","jonrappoport.",94079
"2errisgrowth","officialDannyT",94080
"Tracey001277","DerekSloanCPC",94081
"bcskaggs","TheLastRefuge2",94086
"CactusFlower_1","DrButtar",94091
"FineTunedFoto","heavenswatch20",94094
"FineTunedFoto","sandbanksgirl",94094
"DonaldC62076960","DrButtar",94095
"Aprince851","Mastabeava",94096
"Aprince851","PrisonPlanet",94096
"Macroability","MichelleM4HIM",94097
"Macroability","Spiritual_Kitty",94097
"Macroability","SexyAssPatriot2",94097
"Macroability","MorganDelano1",94097
"Macroability","AnnParTRUMP2020",94097
"Macroability","AnnieGetHerGun",94097
"Macroability","HHere4trump",94097
"Macroability","paulaWWG1WGA",94097
"Macroability","MarvinSmith7802",94097
"Macroability","johnnyj94027092",94097
"Macroability","trishkall1",94097
"Macroability","2141Salute0261",94097
"Macroability","Qspatriot",94097
"Macroability","usplus2",94097
"Macroability","BayouMatt",94097
"Macroability","mnmusician2002",94097
"tweekman40","_Canecast",94099
"LauraALegere","dansiddons4",94100
"BCMsolt","Education4Libss",94103
"BCMsolt","DrButtar",94104
"DeFauxKingWorst","o_rips",94106
"Wcg83128165","DrButtar",94109
"trumptrain1111","DrButtar",94113
"lah3309","DrButtar",94117
"gemma2727","RealCandaceO",94119
"gemma2727","kathleenprato",94119
"gemma2727","TuckerCarlson",94119
"Gretche42423277","greg_scott84",94122
"Gina4DJT2020","DrButtar",94123
"jfolmer57","Alyssa_Milano",94124
"nursetowsend","Mlbpmow",94125
"nursetowsend","porkysdoom",94125
"nursetowsend","BreitbartNews",94125
"nursetowsend","GovRonDeSantis",94125
"indyrudy1","pocothunder",94126
"indyrudy1","HBergsjoe",94126
"aubweim14","EastBayTimes",94130
"dbartoni69","Matthew_4_Trump",94131
"Mademmilow","YouTube",94133
"TurtleTurtle920","On_The_Hook",94135
"TurtleTurtle920","Sundncefn",94135
"Spence_Sa","martingeddes",94136
"shannonjachetta","nedryun",94138
"shannonjachetta","realDonaldTrump",94138
"shannonjachetta","CarterSandee",94139
"shannonjachetta","WhiteHouse",94139
"scrapertaper","MikaelYaron",94141
"scrapertaper","tedfrank",94141
"Silverado171","elenochle",94142
"otter_pink","martingeddes",94143
"338LapuaSavage","canucklaw1",94146
"zstorm04","DrButtar",94147
"WarmongerExpose","BillGates",94149
"WarmongerExpose","realDonaldTrump",94149
"onemindofdesign","BreitbartNews",94150
"onemindofdesign","GovRonDeSantis",94150
"Skunky66613","RepThomasMassie",94152
"01kris","Anschutz2012",94154
"01kris","SchlabachDave",94154
"01kris","GovMikeDeWine",94154
"TraciEM27877051","POTUS",94156
"TraciEM27877051","YouTube",94156
"WallaceeJeff","realDonaldTrump",94157
"eyesope39951958","GovernorTomWolf",94158
"eyesope39951958","TomWolfPA",94158
"MPacino661","FALLOFTHECABAL",94159
"CountryGurll56","atensnut",94162
"CountryGurll56","charlino",94162
"CountryGurll56","atensnut",94163
"CountryGurll56","charlino",94163
"tony80554056","WelshBrideGuide",94164
"tony80554056","DominicRaab",94165
"tony80554056","BillGates",94165
"tony80554056","wellcometrust",94165
"tony80554056","CEPIvaccines",94165
"tony80554056","WHO",94165
"pauljturgeon","globalnews",94167
"arymarie7","WAGOP",94168
"arymarie7","GovInslee",94168
"AnnieHa96934858","cathythomas03",94170
"AnnieHa96934858","sxdoc",94170
"nzphil","AgeaTrade",94171
"Frrine1","AllPassingThing",94173
"JakeMc945","DrButtar",94174
"MarjoT13","Matthew_4_Trump",94178
"frehoula","canucklaw1",94181
"Zioinfiltration","99freemind",94183
"adj_ALLforLOVE","YouTube",94185
"mj_santos","TheDemocrats",94187
"mj_santos","VP",94187
"mj_santos","MayoClinic.",94187
"mj_santos","BillGates",94187
"mj_santos","gatesfoundation",94187
"MAGAKatydid","realDonaldTrump",94188
"Here4Trump2020","DrButtar",94191
"RamonaCCampbell","officialmcafee",94194
"ReginaR36349905","SherylCrow",94196
"MnEmployed","Photosbymo2",94197
"MnEmployed","MnEmployed",94197
"MnEmployed","RonDeSantisFL",94197
"Jules4grace","RepPeteOlson",94200
"cindyd1980","DrButtar",94210
"Awhatdafudge","NolteNC",94214
"TrustSmee","MattWalshBlog",94216
"EMouthy","DrButtar",94217
"darkwolf514","Razkles",94219
"darkwolf514","tezisold",94219
"darkwolf514","TigerKaze",94219
"darkwolf514","darkwolf514",94219
"darkwolf514","AnonymousSage1",94219
"darkwolf514","john_c0nner",94219
"darkwolf514","cjsienna55",94219
"darkwolf514","Are_you_aware_",94219
"darkwolf514","Anon__Truther",94219
"darkwolf514","onlyDtruths",94219
"darkwolf514","ThomasHansson14",94219
"darkwolf514","idonotComply",94219
"darkwolf514","noblebutts",94219
"darkwolf514","Fredthefish2",94219
"darkwolf514","CatherineJayn11",94219
"darkwolf514","jamesperloff",94219
"darkwolf514","Alpha_1C",94219
"darkwolf514","Boots93059615",94219
"darkwolf514","USlawreview",94219
"darkwolf514","AniloDiako",94219
"darkwolf514","End_TheFederalR",94219
"darkwolf514","Dragonsoul9Fire",94219
"darkwolf514","ILLUMINATIKILL5",94219
"darkwolf514","Lukewearechange",94219
"darkwolf514","AngeloJohnGage",94219
"darkwolf514","Know_More_News",94219
"darkwolf514","Obzerver77",94219
