"team1","Schl","Result","year","outcome","Year.x","Random.x","Season.x","G.x","W.x","L.x","W.L..x","MP.x","FG.x","FGA.x","FG..x","X2P.x","X2PA.x","X2P..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","PTS.x","SeasonStart.x","Year.y","Random.y","Season.y","G.y","W.y","L.y","W.L..y","MP.y","FG.y","FGA.y","FG..y","X2P.y","X2PA.y","X2P..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","PTS.y","SeasonStart.y","Year"
"Utah","Georgetown","W 75-64",2015,1,15,788,"2014-15","35","26","9","0.743","7024","849","1760","0.482","585","1106","0.529","264","654","0.404","534","760","0.703","2496","2014",15,1354,"2014-15","33","22","11","0.667","6699","799","1753","0.456","598","1184","0.505","201","569","0.353","541","769","0.704","2340","2014",15
"Xavier","Georgia State","W 75-67",2015,1,15,293,"2014-15","37","23","14","0.622","7525","956","2011","0.475","722","1345","0.537","234","666","0.351","566","775","0.73","2712","2014",15,783,"2014-15","35","25","10","0.714","7076","902","1878","0.48","728","1356","0.537","174","522","0.333","521","719","0.725","2499","2014",15
"Louisville","NC State","W 75-65",2015,1,15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15
"Hampton","Manhattan","W 74-64",2015,1,15,1323,"2014-15","35","17","18","0.486","7025","796","1959","0.406","602","1321","0.456","194","638","0.304","560","859","0.652","2346","2014",15,1507,"2014-15","33","19","14","0.576","6700","756","1748","0.432","541","1108","0.488","215","640","0.336","573","829","0.691","2300","2014",15
"Eastern Wash.","Georgetown","L 74-84",2015,0,15,142,"2014-15","35","26","9","0.743","7050","977","2045","0.478","633","1185","0.534","344","860","0.4","522","719","0.726","2820","2014",15,1354,"2014-15","33","22","11","0.667","6699","799","1753","0.456","598","1184","0.505","201","569","0.353","541","769","0.704","2340","2014",15
"Gonzaga","UCLA","W 74-62",2015,1,15,51,"2014-15","38","35","3","0.921","7625","1084","2083","0.52","820","1423","0.576","264","660","0.4","557","806","0.691","2989","2014",15,541,"2014-15","36","22","14","0.611","7250","930","2099","0.443","707","1493","0.474","223","606","0.368","507","750","0.676","2590","2014",15
"Oklahoma State","Oregon","L 73-79",2015,0,15,2115,"2014-15","32","18","14","0.563","6450","733","1667","0.44","507","1020","0.497","226","647","0.349","468","645","0.726","2160","2014",15,292,"2014-15","36","26","10","0.722","7300","992","2143","0.463","729","1417","0.514","263","726","0.362","466","613","0.76","2713","2014",15
"Arizona","Ohio State","W 73-58",2015,1,15,76,"2014-15","38","34","4","0.895","7625","1009","2068","0.488","816","1532","0.533","193","536","0.36","700","974","0.719","2911","2014",15,430,"2014-15","35","24","11","0.686","7050","964","1995","0.483","728","1358","0.536","236","637","0.37","471","693","0.68","2635","2014",15
"Texas Southern","Arizona","L 72-93",2015,0,15,1161,"2014-15","35","22","13","0.629","7152","818","1840","0.445","633","1266","0.5","185","574","0.322","569","861","0.661","2390","2014",15,76,"2014-15","38","34","4","0.895","7625","1009","2068","0.488","816","1532","0.533","193","536","0.36","700","974","0.719","2911","2014",15
"VCU","Ohio State","L 72-75 (OT)",2015,0,15,499,"2014-15","36","26","10","0.722","7375","896","2139","0.419","603","1285","0.469","293","854","0.343","524","797","0.657","2609","2014",15,430,"2014-15","35","24","11","0.686","7050","964","1995","0.483","728","1358","0.536","236","637","0.37","471","693","0.68","2635","2014",15
"Coastal Caro.","Wisconsin","L 72-86",2015,0,15,990,"2014-15","34","24","10","0.706","6798","836","1899","0.44","608","1266","0.48","228","633","0.36","538","780","0.69","2438","2014",15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15
"Oklahoma","Dayton","W 72-66",2015,1,15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15,986,"2014-15","36","27","9","0.75","7225","810","1755","0.462","571","1085","0.526","239","670","0.357","580","846","0.686","2439","2014",15
"Wisconsin","Oregon","W 72-65",2015,1,15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15,292,"2014-15","36","26","10","0.722","7300","992","2143","0.463","729","1417","0.514","263","726","0.362","466","613","0.76","2713","2014",15
"UNC","Wisconsin","L 72-79",2015,0,15,63,"2014-15","38","26","12","0.684","7650","1099","2309","0.476","915","1795","0.51","184","514","0.358","571","814","0.701","2953","2014",15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15
"Northern Iowa","Wyoming","W 71-54",2015,1,15,1593,"2014-15","35","31","4","0.886","7101","776","1618","0.48","519","973","0.533","257","645","0.398","472","644","0.733","2281","2014",15,2150,"2014-15","35","25","10","0.714","7152","747","1619","0.461","538","977","0.551","209","642","0.326","448","638","0.702","2151","2014",15
"NC State","Villanova","W 71-68",2015,1,15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15,229,"2014-15","36","33","3","0.917","7250","916","1951","0.47","590","1114","0.53","326","837","0.389","596","815","0.731","2754","2014",15
"Wisconsin","Kentucky","W 71-64",2015,1,15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15
"Michigan State","Georgia","W 70-63",2015,1,15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15,1748,"2014-15","33","21","12","0.636","6755","747","1730","0.432","563","1192","0.472","184","538","0.342","572","826","0.692","2250","2014",15
"Wichita State","Notre Dame","L 70-81",2015,0,15,911,"2014-15","35","30","5","0.857","7050","860","1933","0.445","621","1263","0.492","239","670","0.357","501","715","0.701","2460","2014",15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15
"Louisville","Michigan State","L 70-76 (OT)",2015,0,15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15
"Notre Dame","Northeastern","W 69-65",2015,1,15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15,1140,"2014-15","35","23","12","0.657","7075","838","1725","0.486","635","1199","0.53","203","526","0.386","518","713","0.727","2397","2014",15
"Oklahoma","Albany (NY)","W 69-60",2015,1,15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15,2128,"2014-15","33","24","9","0.727","6624","729","1666","0.438","524","1094","0.479","205","572","0.358","493","650","0.758","2156","2014",15
"West Virginia","Maryland","W 69-59",2015,1,15,668,"2014-15","35","25","10","0.714","7050","872","2138","0.408","645","1419","0.455","227","719","0.316","571","863","0.662","2542","2014",15,1062,"2014-15","35","28","7","0.8","7050","781","1777","0.44","523","1090","0.48","258","687","0.376","597","790","0.756","2417","2014",15
"West Virginia","Buffalo","W 68-62",2015,1,15,668,"2014-15","35","25","10","0.714","7050","872","2138","0.408","645","1419","0.455","227","719","0.316","571","863","0.662","2542","2014",15,905,"2014-15","33","23","10","0.697","6600","837","1922","0.435","638","1339","0.476","199","583","0.341","589","819","0.719","2462","2014",15
"Villanova","NC State","L 68-71",2015,0,15,229,"2014-15","36","33","3","0.917","7250","916","1951","0.47","590","1114","0.53","326","837","0.389","596","815","0.731","2754","2014",15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15
"Duke","San Diego State","W 68-49",2015,1,15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15,1837,"2014-15","36","27","9","0.75","7276","800","1916","0.418","611","1325","0.461","189","591","0.32","437","694","0.63","2226","2014",15
"Iowa","Gonzaga","L 68-87",2015,0,15,1217,"2014-15","34","22","12","0.647","6850","821","1905","0.431","629","1329","0.473","192","576","0.333","538","723","0.744","2372","2014",15,51,"2014-15","38","35","3","0.921","7625","1084","2083","0.52","820","1423","0.576","264","660","0.4","557","806","0.691","2989","2014",15
"Arizona","Xavier","W 68-60",2015,1,15,76,"2014-15","38","34","4","0.895","7625","1009","2068","0.488","816","1532","0.533","193","536","0.36","700","974","0.719","2911","2014",15,293,"2014-15","37","23","14","0.622","7525","956","2011","0.475","722","1345","0.537","234","666","0.351","566","775","0.73","2712","2014",15
"Kentucky","Notre Dame","W 68-66",2015,1,15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15
"Duke","Wisconsin","W 68-63",2015,1,15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15
"UNC","Harvard","W 67-65",2015,1,15,63,"2014-15","38","26","12","0.684","7650","1099","2309","0.476","915","1795","0.51","184","514","0.358","571","814","0.701","2953","2014",15,2890,"2014-15","30","22","8","0.733","6098","671","1548","0.433","525","1136","0.462","146","412","0.354","438","609","0.719","1926","2014",15
"Belmont","Virginia","L 67-79",2015,0,15,937,"2014-15","33","22","11","0.667","6602","858","1803","0.476","529","937","0.565","329","866","0.38","405","585","0.692","2450","2014",15,1844,"2014-15","34","30","4","0.882","6850","804","1758","0.457","634","1275","0.497","170","483","0.352","446","614","0.726","2224","2014",15
"Notre Dame","Butler","W 67-64 (OT)",2015,1,15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15,1324,"2014-15","34","23","11","0.676","6900","814","1882","0.433","622","1342","0.463","192","540","0.356","526","767","0.686","2346","2014",15
"Georgia State","Xavier","L 67-75",2015,0,15,783,"2014-15","35","25","10","0.714","7076","902","1878","0.48","728","1356","0.537","174","522","0.333","521","719","0.725","2499","2014",15,293,"2014-15","37","23","14","0.622","7525","956","2011","0.475","722","1345","0.537","234","666","0.351","566","775","0.73","2712","2014",15
"Cincinnati","Purdue","W 66-65 (OT)",2015,1,15,2310,"2014-15","34","23","11","0.676","6899","761","1705","0.446","594","1198","0.496","167","507","0.329","424","633","0.67","2113","2014",15,1212,"2014-15","34","21","13","0.618","6876","827","1840","0.449","632","1243","0.508","195","597","0.327","524","767","0.683","2373","2014",15
"NC State","LSU","W 66-65",2015,1,15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15,1045,"2014-15","33","22","11","0.667","6750","892","1962","0.455","703","1404","0.501","189","558","0.339","450","658","0.684","2423","2014",15
"Dayton","Providence","W 66-53",2015,1,15,986,"2014-15","36","27","9","0.75","7225","810","1755","0.462","571","1085","0.526","239","670","0.357","580","846","0.686","2439","2014",15,1227,"2014-15","34","22","12","0.647","6850","828","1889","0.438","657","1343","0.489","171","546","0.313","543","768","0.707","2370","2014",15
"Dayton","Oklahoma","L 66-72",2015,0,15,986,"2014-15","36","27","9","0.75","7225","810","1755","0.462","571","1085","0.526","239","670","0.357","580","846","0.686","2439","2014",15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15
"Louisville","Northern Iowa","W 66-53",2015,1,15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15,1593,"2014-15","35","31","4","0.886","7101","776","1618","0.48","519","973","0.533","257","645","0.398","472","644","0.733","2281","2014",15
"Notre Dame","Kentucky","L 66-68",2015,0,15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15
"Duke","Gonzaga","W 66-52",2015,1,15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15,51,"2014-15","38","35","3","0.921","7625","1084","2083","0.52","820","1423","0.576","264","660","0.4","557","806","0.691","2989","2014",15
"Purdue","Cincinnati","L 65-66 (OT)",2015,0,15,1212,"2014-15","34","21","13","0.618","6876","827","1840","0.449","632","1243","0.508","195","597","0.327","524","767","0.683","2373","2014",15,2310,"2014-15","34","23","11","0.676","6899","761","1705","0.446","594","1198","0.496","167","507","0.329","424","633","0.67","2113","2014",15
"Harvard","UNC","L 65-67",2015,0,15,2890,"2014-15","30","22","8","0.733","6098","671","1548","0.433","525","1136","0.462","146","412","0.354","438","609","0.719","1926","2014",15,63,"2014-15","38","26","12","0.684","7650","1099","2309","0.476","915","1795","0.51","184","514","0.358","571","814","0.701","2953","2014",15
"LSU","NC State","L 65-66",2015,0,15,1045,"2014-15","33","22","11","0.667","6750","892","1962","0.455","703","1404","0.501","189","558","0.339","450","658","0.684","2423","2014",15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15
"Northeastern","Notre Dame","L 65-69",2015,0,15,1140,"2014-15","35","23","12","0.657","7075","838","1725","0.486","635","1199","0.53","203","526","0.386","518","713","0.727","2397","2014",15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15
"Maryland","Valparaiso","W 65-62",2015,1,15,1062,"2014-15","35","28","7","0.8","7050","781","1777","0.44","523","1090","0.48","258","687","0.376","597","790","0.756","2417","2014",15,1242,"2014-15","34","28","6","0.824","6826","837","1836","0.456","601","1216","0.494","236","620","0.381","456","676","0.675","2366","2014",15
"Kansas","Wichita State","L 65-78",2015,0,15,615,"2014-15","36","27","9","0.75","7225","869","1976","0.44","656","1414","0.464","213","562","0.379","610","842","0.724","2561","2014",15,911,"2014-15","35","30","5","0.857","7050","860","1933","0.445","621","1263","0.492","239","670","0.357","501","715","0.701","2460","2014",15
"Oregon","Wisconsin","L 65-72",2015,0,15,292,"2014-15","36","26","10","0.722","7300","992","2143","0.463","729","1417","0.514","263","726","0.362","466","613","0.76","2713","2014",15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15
"NC State","Louisville","L 65-75",2015,0,15,704,"2014-15","36","22","14","0.611","7252","895","2054","0.436","659","1393","0.473","236","661","0.357","499","727","0.686","2525","2014",15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15
"Manhattan","Hampton","L 64-74",2015,0,15,1507,"2014-15","33","19","14","0.576","6700","756","1748","0.432","541","1108","0.488","215","640","0.336","573","829","0.691","2300","2014",15,1323,"2014-15","35","17","18","0.486","7025","796","1959","0.406","602","1321","0.456","194","638","0.304","560","859","0.652","2346","2014",15
"St. John's (NY)","San Diego State","L 64-76",2015,0,15,1342,"2014-15","33","21","12","0.636","6625","835","1890","0.442","637","1321","0.482","198","569","0.348","475","687","0.691","2343","2014",15,1837,"2014-15","36","27","9","0.75","7276","800","1916","0.418","611","1325","0.461","189","591","0.32","437","694","0.63","2226","2014",15
"Butler","Notre Dame","L 64-67 (OT)",2015,0,15,1324,"2014-15","34","23","11","0.676","6900","814","1882","0.433","622","1342","0.463","192","540","0.356","526","767","0.686","2346","2014",15,60,"2014-15","38","32","6","0.842","7725","1050","2061","0.509","748","1286","0.582","302","775","0.39","561","756","0.742","2963","2014",15
"Kentucky","Cincinnati","W 64-51",2015,1,15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15,2310,"2014-15","34","23","11","0.676","6899","761","1705","0.446","594","1198","0.496","167","507","0.329","424","633","0.67","2113","2014",15
"Georgetown","Utah","L 64-75",2015,0,15,1354,"2014-15","33","22","11","0.667","6699","799","1753","0.456","598","1184","0.505","201","569","0.353","541","769","0.704","2340","2014",15,788,"2014-15","35","26","9","0.743","7024","849","1760","0.482","585","1106","0.529","264","654","0.404","534","760","0.703","2496","2014",15
"Kentucky","Wisconsin","L 64-71",2015,0,15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15
"Georgia","Michigan State","L 63-70",2015,0,15,1748,"2014-15","33","21","12","0.636","6755","747","1730","0.432","563","1192","0.472","184","538","0.342","572","826","0.692","2250","2014",15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15
"Duke","Utah","W 63-57",2015,1,15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15,788,"2014-15","35","26","9","0.743","7024","849","1760","0.482","585","1106","0.529","264","654","0.404","534","760","0.703","2496","2014",15
"Wisconsin","Duke","L 63-68",2015,0,15,80,"2014-15","40","36","4","0.9","8050","1014","2115","0.479","726","1325","0.548","288","790","0.365","584","765","0.763","2900","2014",15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15
"Buffalo","West Virginia","L 62-68",2015,0,15,905,"2014-15","33","23","10","0.697","6600","837","1922","0.435","638","1339","0.476","199","583","0.341","589","819","0.719","2462","2014",15,668,"2014-15","35","25","10","0.714","7050","872","2138","0.408","645","1419","0.455","227","719","0.316","571","863","0.662","2542","2014",15
"Valparaiso","Maryland","L 62-65",2015,0,15,1242,"2014-15","34","28","6","0.824","6826","837","1836","0.456","601","1216","0.494","236","620","0.381","456","676","0.675","2366","2014",15,1062,"2014-15","35","28","7","0.8","7050","781","1777","0.44","523","1090","0.48","258","687","0.376","597","790","0.756","2417","2014",15
"UCLA","Gonzaga","L 62-74",2015,0,15,541,"2014-15","36","22","14","0.611","7250","930","2099","0.443","707","1493","0.474","223","606","0.368","507","750","0.676","2590","2014",15,51,"2014-15","38","35","3","0.921","7625","1084","2083","0.52","820","1423","0.576","264","660","0.4","557","806","0.691","2989","2014",15
"Michigan State","Oklahoma","W 62-58",2015,1,15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15
"Michigan State","Duke","L 61-81",2015,0,15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15
"UAB","Iowa State","W 60-59",2015,1,15,855,"2014-15","36","20","16","0.556","7401","873","2042","0.428","671","1435","0.468","202","607","0.333","528","715","0.738","2476","2014",15,412,"2014-15","34","25","9","0.735","6800","940","1973","0.476","677","1247","0.543","263","726","0.362","502","721","0.696","2645","2014",15
"UCLA","SMU","W 60-59",2015,1,15,541,"2014-15","36","22","14","0.611","7250","930","2099","0.443","707","1493","0.474","223","606","0.368","507","750","0.676","2590","2014",15,1307,"2014-15","34","27","7","0.794","6825","832","1750","0.475","687","1350","0.509","145","400","0.363","541","770","0.703","2350","2014",15
"Albany (NY)","Oklahoma","L 60-69",2015,0,15,2128,"2014-15","33","24","9","0.727","6624","729","1666","0.438","524","1094","0.479","205","572","0.358","493","650","0.758","2156","2014",15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15
"Michigan State","Virginia","W 60-54",2015,1,15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15,1844,"2014-15","34","30","4","0.882","6850","804","1758","0.457","634","1275","0.497","170","483","0.352","446","614","0.726","2224","2014",15
"Xavier","Arizona","L 60-68",2015,0,15,293,"2014-15","37","23","14","0.622","7525","956","2011","0.475","722","1345","0.537","234","666","0.351","566","775","0.73","2712","2014",15,76,"2014-15","38","34","4","0.895","7625","1009","2068","0.488","816","1532","0.533","193","536","0.36","700","974","0.719","2911","2014",15
"Iowa State","UAB","L 59-60",2015,0,15,412,"2014-15","34","25","9","0.735","6800","940","1973","0.476","677","1247","0.543","263","726","0.362","502","721","0.696","2645","2014",15,855,"2014-15","36","20","16","0.556","7401","873","2042","0.428","671","1435","0.468","202","607","0.333","528","715","0.738","2476","2014",15
"SMU","UCLA","L 59-60",2015,0,15,1307,"2014-15","34","27","7","0.794","6825","832","1750","0.475","687","1350","0.509","145","400","0.363","541","770","0.703","2350","2014",15,541,"2014-15","36","22","14","0.611","7250","930","2099","0.443","707","1493","0.474","223","606","0.368","507","750","0.676","2590","2014",15
"Maryland","West Virginia","L 59-69",2015,0,15,1062,"2014-15","35","28","7","0.8","7050","781","1777","0.44","523","1090","0.48","258","687","0.376","597","790","0.756","2417","2014",15,668,"2014-15","35","25","10","0.714","7050","872","2138","0.408","645","1419","0.455","227","719","0.316","571","863","0.662","2542","2014",15
"Ohio State","Arizona","L 58-73",2015,0,15,430,"2014-15","35","24","11","0.686","7050","964","1995","0.483","728","1358","0.536","236","637","0.37","471","693","0.68","2635","2014",15,76,"2014-15","38","34","4","0.895","7625","1009","2068","0.488","816","1532","0.533","193","536","0.36","700","974","0.719","2911","2014",15
"Oklahoma","Michigan State","L 58-62",2015,0,15,776,"2014-15","35","24","11","0.686","7050","885","2035","0.435","649","1347","0.482","236","688","0.343","495","668","0.741","2501","2014",15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15
"Georgia State","Baylor","W 57-56",2015,1,15,783,"2014-15","35","25","10","0.714","7076","902","1878","0.48","728","1356","0.537","174","522","0.333","521","719","0.725","2499","2014",15,1311,"2014-15","34","24","10","0.706","6850","813","1874","0.434","577","1248","0.462","236","626","0.377","487","723","0.674","2349","2014",15
"Ole Miss","Xavier","L 57-76",2015,0,15,860,"2014-15","34","21","13","0.618","6845","848","2003","0.423","628","1341","0.468","220","662","0.332","559","723","0.773","2475","2014",15,293,"2014-15","37","23","14","0.622","7525","956","2011","0.475","722","1345","0.537","234","666","0.351","566","775","0.73","2712","2014",15
"Utah","Stephen F. Austin","W 57-50",2015,1,15,788,"2014-15","35","26","9","0.743","7024","849","1760","0.482","585","1106","0.529","264","654","0.404","534","760","0.703","2496","2014",15,370,"2014-15","34","29","5","0.853","6824","911","1870","0.487","649","1178","0.551","262","692","0.379","588","799","0.736","2672","2014",15
"Louisville","UC-Irvine","W 57-55",2015,1,15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15,1534,"2014-15","34","21","13","0.618","6850","854","1851","0.461","637","1293","0.493","217","558","0.389","370","541","0.684","2295","2014",15
"Utah","Duke","L 57-63",2015,0,15,788,"2014-15","35","26","9","0.743","7024","849","1760","0.482","585","1106","0.529","264","654","0.404","534","760","0.703","2496","2014",15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15
"Dayton","Boise State","W 56-55",2015,1,15,986,"2014-15","36","27","9","0.75","7225","810","1755","0.462","571","1085","0.526","239","670","0.357","580","846","0.686","2439","2014",15,1160,"2014-15","34","25","9","0.735","6925","831","1823","0.456","534","1065","0.501","297","758","0.392","431","591","0.729","2390","2014",15
"Arkansas","Wofford","W 56-53",2015,1,15,177,"2014-15","36","27","9","0.75","7252","978","2196","0.445","740","1515","0.488","238","681","0.349","593","819","0.724","2787","2014",15,1390,"2014-15","35","28","7","0.8","7000","818","1802","0.454","596","1206","0.494","222","596","0.372","473","688","0.688","2331","2014",15
"Baylor","Georgia State","L 56-57",2015,0,15,1311,"2014-15","34","24","10","0.706","6850","813","1874","0.434","577","1248","0.462","236","626","0.377","487","723","0.674","2349","2014",15,783,"2014-15","35","25","10","0.714","7076","902","1878","0.48","728","1356","0.537","174","522","0.333","521","719","0.725","2499","2014",15
"Butler","Texas","W 56-48",2015,1,15,1324,"2014-15","34","23","11","0.676","6900","814","1882","0.433","622","1342","0.463","192","540","0.356","526","767","0.686","2346","2014",15,1557,"2014-15","34","20","14","0.588","6875","796","1837","0.433","584","1211","0.482","212","626","0.339","486","671","0.724","2290","2014",15
"Hampton","Kentucky","L 56-79",2015,0,15,1323,"2014-15","35","17","18","0.486","7025","796","1959","0.406","602","1321","0.456","194","638","0.304","560","859","0.652","2346","2014",15,79,"2014-15","39","38","1","0.974","7873","1006","2150","0.468","803","1568","0.512","203","582","0.349","685","943","0.726","2900","2014",15
"Robert Morris","Duke","L 56-85",2015,0,15,1077,"2014-15","35","20","15","0.571","7050","854","1926","0.443","633","1336","0.474","221","590","0.375","485","684","0.709","2414","2014",15,17,"2014-15","39","35","4","0.897","7850","1099","2191","0.502","816","1459","0.559","283","732","0.387","610","873","0.699","3091","2014",15
"New Mexico St.","Kansas","L 56-75",2015,0,15,1445,"2014-15","34","23","11","0.676","6850","808","1748","0.462","643","1298","0.495","165","450","0.367","535","771","0.694","2316","2014",15,615,"2014-15","36","27","9","0.75","7225","869","1976","0.44","656","1414","0.464","213","562","0.379","610","842","0.724","2561","2014",15
"Boise State","Dayton","L 55-56",2015,0,15,1160,"2014-15","34","25","9","0.735","6925","831","1823","0.456","534","1065","0.501","297","758","0.392","431","591","0.729","2390","2014",15,986,"2014-15","36","27","9","0.75","7225","810","1755","0.462","571","1085","0.526","239","670","0.357","580","846","0.686","2439","2014",15
"UC-Irvine","Louisville","L 55-57",2015,0,15,1534,"2014-15","34","21","13","0.618","6850","854","1851","0.461","637","1293","0.493","217","558","0.389","370","541","0.684","2295","2014",15,826,"2014-15","36","27","9","0.75","7249","878","2048","0.429","680","1404","0.484","198","644","0.307","529","792","0.668","2483","2014",15
"Wyoming","Northern Iowa","L 54-71",2015,0,15,2150,"2014-15","35","25","10","0.714","7152","747","1619","0.461","538","977","0.551","209","642","0.326","448","638","0.702","2151","2014",15,1593,"2014-15","35","31","4","0.886","7101","776","1618","0.48","519","973","0.533","257","645","0.398","472","644","0.733","2281","2014",15
"Virginia","Michigan State","L 54-60",2015,0,15,1844,"2014-15","34","30","4","0.882","6850","804","1758","0.457","634","1275","0.497","170","483","0.352","446","614","0.726","2224","2014",15,201,"2014-15","39","27","12","0.692","8025","1014","2181","0.465","720","1418","0.508","294","763","0.385","451","714","0.632","2773","2014",15
