"team1","Schl","Result","year","outcome","Year.x","Random.x","Season.x","G.x","W.x","L.x","W.L..x","MP.x","FG.x","FGA.x","FG..x","X2P.x","X2PA.x","X2P..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","PTS.x","SeasonStart.x","Year.y","Random.y","Season.y","G.y","W.y","L.y","W.L..y","MP.y","FG.y","FGA.y","FG..y","X2P.y","X2PA.y","X2P..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","PTS.y","SeasonStart.y","Year"
"San Diego State","Northern Colo.","W 68-50",2011,1,11,386,"2010-11","37","34","3","0.919","7450","991","2141","0.463","768","1502","0.511","223","639","0.349","455","653","0.697","2660","2010",11,1566,"2010-11","32","21","11","0.656","6400","731","1708","0.428","477","1051","0.454","254","657","0.387","571","742","0.77","2287","2010",11
"Washington","Georgia","W 68-65",2011,1,11,77,"2010-11","35","24","11","0.686","7050","1061","2260","0.469","756","1439","0.525","305","821","0.371","480","712","0.674","2907","2010",11,1666,"2010-11","33","21","12","0.636","6750","823","1822","0.452","667","1366","0.488","156","456","0.342","465","667","0.697","2267","2010",11
"Gonzaga","BYU","L 67-89",2011,0,11,346,"2010-11","35","25","10","0.714","7050","932","1947","0.479","729","1399","0.521","203","548","0.37","617","810","0.762","2684","2010",11,39,"2010-11","37","32","5","0.865","7475","1019","2267","0.449","707","1402","0.504","312","865","0.361","662","865","0.765","3012","2010",11
"San Diego State","UConn","L 67-74",2011,0,11,386,"2010-11","37","34","3","0.919","7450","991","2141","0.463","768","1502","0.511","223","639","0.349","455","653","0.697","2660","2010",11,56,"2010-11","41","32","9","0.78","8350","1053","2429","0.434","819","1718","0.477","234","711","0.329","627","822","0.763","2967","2010",11
"Wofford","BYU","L 66-74",2011,0,11,768,"2010-11","34","21","13","0.618","6950","883","1853","0.477","686","1360","0.504","197","493","0.4","539","778","0.693","2502","2010",11,39,"2010-11","37","32","5","0.865","7475","1019","2267","0.449","707","1402","0.504","312","865","0.361","662","865","0.765","3012","2010",11
"Temple","Penn State","W 66-64",2011,1,11,1129,"2010-11","34","26","8","0.765","6875","868","1943","0.447","662","1360","0.487","206","583","0.353","458","656","0.698","2400","2010",11,2186,"2010-11","34","19","15","0.559","6800","767","1748","0.439","551","1110","0.496","216","638","0.339","394","544","0.724","2144","2010",11
"Vanderbilt","Richmond","L 66-69",2011,0,11,561,"2010-11","34","23","11","0.676","6875","848","1853","0.458","585","1145","0.511","263","708","0.371","622","837","0.743","2581","2010",11,572,"2010-11","37","29","8","0.784","7450","922","2007","0.459","635","1272","0.499","287","735","0.39","446","649","0.687","2577","2010",11
"Marquette","Xavier","W 66-55",2011,1,11,184,"2010-11","37","22","15","0.595","7425","973","2094","0.465","782","1547","0.505","191","547","0.349","645","927","0.696","2782","2010",11,1484,"2010-11","32","24","8","0.75","6500","784","1700","0.461","611","1174","0.52","173","526","0.329","565","756","0.747","2306","2010",11
"George Mason","Ohio State","L 66-98",2011,0,11,864,"2010-11","34","27","7","0.794","6875","876","1861","0.471","649","1287","0.504","227","574","0.395","495","718","0.689","2474","2010",11,106,"2010-11","37","34","3","0.919","7425","1017","2059","0.494","732","1385","0.529","285","674","0.423","535","763","0.701","2854","2010",11
"Marquette","Syracuse","W 66-62",2011,1,11,184,"2010-11","37","22","15","0.595","7425","973","2094","0.465","782","1547","0.505","191","547","0.349","645","927","0.696","2782","2010",11,598,"2010-11","35","27","8","0.771","7050","936","1983","0.472","714","1355","0.527","222","628","0.354","474","713","0.665","2568","2010",11
"Georgia","Washington","L 65-68",2011,0,11,1666,"2010-11","33","21","12","0.636","6750","823","1822","0.452","667","1366","0.488","156","456","0.342","465","667","0.697","2267","2010",11,77,"2010-11","35","24","11","0.686","7050","1061","2260","0.469","756","1439","0.525","305","821","0.371","480","712","0.674","2907","2010",11
"Purdue","St. Peter's","W 65-43",2011,1,11,889,"2010-11","34","26","8","0.765","6825","875","1957","0.447","640","1312","0.488","235","645","0.364","481","673","0.715","2466","2010",11,2475,"2010-11","34","20","14","0.588","6828","713","1782","0.4","516","1209","0.427","197","573","0.344","446","693","0.644","2069","2010",11
"UCLA","Florida","L 65-73",2011,0,11,1189,"2010-11","34","23","11","0.676","6876","830","1824","0.455","657","1295","0.507","173","529","0.327","549","808","0.679","2382","2010",11,377,"2010-11","37","29","8","0.784","7575","968","2083","0.465","735","1422","0.517","233","661","0.352","498","744","0.669","2667","2010",11
"Kansas State","Wisconsin","L 65-70",2011,0,11,851,"2010-11","34","23","11","0.676","6800","849","1939","0.438","612","1308","0.468","237","631","0.376","542","828","0.655","2477","2010",11,1473,"2010-11","34","25","9","0.735","6849","798","1808","0.441","520","1064","0.489","278","744","0.374","436","533","0.818","2310","2010",11
"Richmond","Morehead State","W 65-48",2011,1,11,572,"2010-11","37","29","8","0.784","7450","922","2007","0.459","635","1272","0.499","287","735","0.39","446","649","0.687","2577","2010",11,1082,"2010-11","35","25","10","0.714","7069","851","1874","0.454","647","1273","0.508","204","601","0.339","506","751","0.674","2412","2010",11
"UConn","Arizona","W 65-63",2011,1,11,56,"2010-11","41","32","9","0.78","8350","1053","2429","0.434","819","1718","0.477","234","711","0.329","627","822","0.763","2967","2010",11,78,"2010-11","38","30","8","0.789","7700","969","2064","0.469","673","1319","0.51","296","745","0.397","671","899","0.746","2905","2010",11
"Penn State","Temple","L 64-66",2011,0,11,2186,"2010-11","34","19","15","0.559","6800","767","1748","0.439","551","1110","0.496","216","638","0.339","394","544","0.724","2144","2010",11,1129,"2010-11","34","26","8","0.765","6875","868","1943","0.447","662","1360","0.487","206","583","0.353","458","656","0.698","2400","2010",11
"Temple","San Diego State","L 64-71 (2OT)",2011,0,11,1129,"2010-11","34","26","8","0.765","6875","868","1943","0.447","662","1360","0.487","206","583","0.353","458","656","0.698","2400","2010",11,386,"2010-11","37","34","3","0.919","7450","991","2141","0.463","768","1502","0.511","223","639","0.349","455","653","0.697","2660","2010",11
"Missouri","Cincinnati","L 63-78",2011,0,11,237,"2010-11","34","23","11","0.676","6875","983","2145","0.458","738","1476","0.5","245","669","0.366","537","727","0.739","2748","2010",11,1083,"2010-11","35","26","9","0.743","7025","848","1939","0.437","628","1288","0.488","220","651","0.338","496","742","0.668","2412","2010",11
